mir	ratio	symbol	entrezid	pvalue	cor	fdr	is_target
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	TBC1D7	51256	9.33198851527095e-09	0.289215069132018	0.000182225739737696	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	TBCEL	219899	1.37252450116769e-06	-0.244748860625588	0.0254699371681689	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	TBX21	30009	1.79621611806813e-07	-0.263853243315184	0.00341568457011836	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	TBX2	6909	1.0824299186917e-09	-0.306220955500968	2.14256178105834e-05	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	TBX4	9496	5.10038394715739e-11	-0.328610420959683	1.02277999292347e-06	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	TBX5	6910	1.12426698435627e-12	-0.354225668431054	2.27034474820905e-08	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	TBXA2R	6915	7.25936666722749e-08	-0.27190033171987	0.00139372580644101	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	TBXAS1	6916	6.33195128741277e-10	-0.310287934573238	1.25727224762868e-05	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	TCEB1	6921	3.69068939853889e-08	0.277742676742603	0.000712487588387933	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	TCF21	6943	8.25480315841224e-11	-0.325202431526078	1.65269414034572e-06	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	TCF4	6925	1.07351415747176e-06	-0.247140911520524	0.0199920541545966	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	TCP11L2	255394	4.2828891179969e-09	-0.295492141543095	8.40260016059813e-05	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	TDG	6996	1.82805945936337e-08	0.28366950745854	0.000354844621657024	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	TDRD10	126668	1.4781718131103e-08	-0.285434748454367	0.000287533981086216	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	TDRD3	81550	6.69745840207917e-08	-0.272603357931834	0.00128664873362343	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	TDRD6	221400	5.92490193623202e-07	-0.25282804782576	0.0111163010127585	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	TEK	7010	1.15130270529322e-09	-0.305749043160332	2.27762214188157e-05	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	TENC1	23371	2.30003686563003e-12	-0.349594372199022	4.6414743948414e-08	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	TFAM	7019	2.271599695014e-07	0.261723698021365	0.00430967894138057	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	TFAP4	7023	5.71951797478931e-07	0.253161351040203	0.010736107190477	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	TFEC	22797	1.83175159650157e-07	-0.263676280089229	0.00348270931042843	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	TFG	10342	6.65888794326719e-07	0.25172133459164	0.0124734288953281	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	TFPT	29844	1.02778278843196e-06	0.247562170341236	0.0191537600452181	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	TGFBR2	7048	3.27886543931251e-13	-0.362025615063192	6.62986591828989e-09	YES
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	TGOLN2	10618	5.14380896881006e-10	-0.311847653779778	1.02207484210256e-05	YES
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	THAP7	80764	3.9388435846277e-08	0.277186579571577	0.000759921092782223	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	THBS1	7057	2.74639980544613e-07	-0.259988445382935	0.00519893483170952	YES
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	THRA	7067	3.46484217949139e-06	-0.235504576550952	0.063396217358154	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	THUMPD1	55623	3.01165421449545e-06	-0.236928157617097	0.0552096450601306	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	TIE1	7075	7.66176765272982e-09	-0.290818992338407	0.000149802881146173	NA
