mir	ratio	symbol	entrezid	pvalue	cor	fdr	is_target
hsa.mir.17	hsa.mir.17_vs_hsa.mir.92a.1	C1QBP	708	4.39967084986392e-09	0.342205401432741	8.20362626665627e-05	NA
hsa.mir.17	hsa.mir.17_vs_hsa.mir.92a.1	C1QTNF2	114898	1.68577101997359e-09	-0.350785189400663	3.1601463540425e-05	NA
hsa.mir.17	hsa.mir.17_vs_hsa.mir.92a.1	C1QTNF7	114905	1.04885613069709e-06	-0.287393031489521	0.0185951703411286	NA
hsa.mir.17	hsa.mir.17_vs_hsa.mir.92a.1	C1QTNF9	338872	3.04399675947878e-07	-0.300790123091209	0.00548376016220103	NA
hsa.mir.17	hsa.mir.17_vs_hsa.mir.92a.1	C1orf106	55765	3.3741266444435e-11	-0.383339075918865	6.44154517690708e-07	NA
hsa.mir.17	hsa.mir.17_vs_hsa.mir.92a.1	C1orf109	54955	3.40484964667098e-08	0.322979976393191	0.000625266589114659	NA
hsa.mir.17	hsa.mir.17_vs_hsa.mir.92a.1	C1orf115	79762	2.8353513217717e-31	-0.622049983133428	5.65142225455535e-27	NA
hsa.mir.17	hsa.mir.17_vs_hsa.mir.92a.1	C1orf135	79000	1.99840144432528e-15	0.451606351630157	3.90047993903408e-11	YES
hsa.mir.17	hsa.mir.17_vs_hsa.mir.92a.1	C1orf150	148823	2.00043168380717e-14	-0.436780251816992	3.88883919332114e-10	NA
hsa.mir.17	hsa.mir.17_vs_hsa.mir.92a.1	C1orf159	54991	1.11349309772635e-08	0.333644898359677	0.000206174381975011	NA
hsa.mir.17	hsa.mir.17_vs_hsa.mir.92a.1	C1orf174	339448	2.70478928143802e-09	0.346588959255845	5.05741499843282e-05	NA
hsa.mir.17	hsa.mir.17_vs_hsa.mir.92a.1	C1orf177	163747	1.81699095250239e-17	-0.479767678467171	3.56784343433369e-13	NA
hsa.mir.17	hsa.mir.17_vs_hsa.mir.92a.1	C1orf186	440712	5.49721828379426e-14	-0.430043350249056	1.06673520797028e-09	NA
hsa.mir.17	hsa.mir.17_vs_hsa.mir.92a.1	C1orf201	90529	6.23679777070055e-12	-0.396345499113117	1.19702859613056e-07	NA
hsa.mir.17	hsa.mir.17_vs_hsa.mir.92a.1	C1orf210	149466	7.20959079165917e-20	-0.509892164005795	1.4218034000231e-15	NA
hsa.mir.17	hsa.mir.17_vs_hsa.mir.92a.1	C1orf26	54823	6.06880318123892e-07	-0.293402412192012	0.0108455581651921	NA
hsa.mir.17	hsa.mir.17_vs_hsa.mir.92a.1	C1orf86	199990	3.20088427319121e-07	0.300258941963437	0.00576319213388077	NA
hsa.mir.17	hsa.mir.17_vs_hsa.mir.92a.1	C20orf112	140688	1.42399183216722e-08	-0.331332841386604	0.000263224890176111	NA
hsa.mir.17	hsa.mir.17_vs_hsa.mir.92a.1	C20orf20	55257	4.57778431783851e-06	0.270475548322986	0.0794382912674516	YES
hsa.mir.17	hsa.mir.17_vs_hsa.mir.92a.1	C20orf54	113278	6.10014925770735e-08	-0.317248005036367	0.00111516828580148	NA
hsa.mir.17	hsa.mir.17_vs_hsa.mir.92a.1	C21orf131	387486	2.56938351462504e-08	-0.325705256768122	0.000472766566691008	NA
hsa.mir.17	hsa.mir.17_vs_hsa.mir.92a.1	C21orf45	54069	7.69939001443731e-10	0.357607538189639	1.44964115191826e-05	NA
hsa.mir.17	hsa.mir.17_vs_hsa.mir.92a.1	C21orf70	85395	1.49837122709329e-08	0.330851837196853	0.000276824084205485	NA
