"logFC"	"AveExpr"
"miR-6516-3p"	-2.43268947082134	3.64809074543031
"miR-32-5p"	2.32076421675317	4.25968654651037
"miR-99b-3p"	2.24126310388252	3.749384707455
"miR-335-5p"	1.5771006344166	7.82001358483884
"miR-31-5p"	2.06834402676805	10.8911662532903
"miR-3178"	-1.44519053782736	11.654449175852
"miR-1290"	-2.20804520167918	9.78545156468201
"miR-210-3p"	1.99295732844761	6.97567401272362
"let-7b-5p"	1.60685883447054	10.2642203373108
"miR-5739"	-1.96958703557674	6.04843515535903
"miR-6775-3p"	-2.15817826983889	4.6244512168515
"miR-6124"	-1.75347955928583	7.14630091810829
"miR-146b-5p"	2.13474656537326	4.14873235573015
"miR-4695-5p"	-1.77777636927475	5.69298878585508
"miR-944"	2.10588189290794	3.21725070068022
"miR-25-3p"	1.62567758903636	8.23199199136391
"miR-186-5p"	1.60178883447236	7.03549060914696
"miR-7845-5p"	1.8189598216892	4.09901869891123
"miR-7847-3p"	-1.51544725416868	7.54741013458245
"miR-6860"	-2.0629488972691	3.91405493483253
"miR-429"	1.79814847091965	5.92211269761428
"miR-181a-5p"	1.65877564655396	9.03264805908474
"miR-4690-5p"	-1.79736421788302	4.84244948959102
"miR-196b-5p"	2.01787267355881	3.75140877979571
"miR-4800-5p"	2.26433944321868	3.32028725966713
"miR-20a-5p"	1.52142747512789	9.5431180486168
"miR-183-5p"	1.88344016536077	5.47863522214864
"miR-7106-5p"	-2.33438760845628	2.91238479757755
"miR-6792-3p"	-2.02558894092332	4.13153262579292
"miR-1249"	1.98911702868348	3.97088904355547
"miR-33a-5p"	1.49800716165282	6.58261219769849
"miR-6085"	-1.71215208777928	5.26984053150696
"miR-6512-3p"	1.5222198113211	5.36806835705079
"miR-6777-3p"	-2.00660857852405	4.67547397942994
"miR-30a-3p"	1.74920163127914	5.32217353197594
"miR-130a-3p"	1.63566695858186	9.3123590360662
"miR-590-5p"	1.89919273669955	5.68142455269038
"miR-362-3p"	1.93791532278691	4.44933710099738
"miR-3940-5p"	-1.72206842489998	7.97899129625641
"miR-6794-5p"	1.84533732188451	5.42442684603649
"miR-1306-5p"	1.76297581135673	4.69410592897055
"miR-6131"	-1.47766840435136	7.64722579583826
"miR-106b-5p"	1.52665579280799	8.28903640972234
"miR-4739"	-1.50460119220978	11.4430475393204
"miR-6752-5p"	-1.52446704770991	11.5380711048998
"miR-10a-5p"	2.21225531534811	4.65090719546983
"miR-582-5p"	2.06963639659812	2.8804583180777
"miR-320e"	1.73499018206099	6.38592380289591
"miR-625-5p"	1.83146278253194	3.73691301937508
"miR-374b-5p"	2.06033504934697	6.27381666592626
"miR-4449"	-1.78567967059745	6.64779346579781
"miR-16-5p"	1.30158361769787	11.7127641749383
"miR-141-5p"	1.85401347298341	4.00495803264261
"miR-505-3p"	2.08517546230901	3.70927329241363
"miR-6829-3p"	-1.84089754886726	3.81271234472373
"miR-4417"	-1.52357080655184	6.40058675617897
"miR-6741-5p"	-2.22716667704787	10.5578998168387
"miR-6820-5p"	-1.8996425320466	3.9083991976263
"miR-320c"	1.49827137744125	7.48743705787511
"miR-1281"	-2.00737193441771	3.69546067541749
"miR-135b-5p"	2.07996838535564	5.51475608405287
"miR-196a-5p"	2.01133413701696	3.40880959403601
"miR-1248"	2.41971892379604	4.61503101022022
"miR-181c-5p"	1.52511333132082	5.72726030617503
