"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"miR-25-3p"	1.30501438573363	8.23199199136391	2.21486556461781	0.048660818439246	0.687305462037794	-4.27665930710441
"miR-22-5p"	1.47192386520705	6.13147176077613	2.11706103445381	0.0577158423496801	0.687305462037794	-4.30981577545365
"miR-363-3p"	1.76153471554894	5.63660996406818	1.9945768264813	0.0713080991448517	0.701521961905918	-4.33207986626981
"miR-210-5p"	-1.85513484895803	5.48095673101329	-2.04778421041464	0.0650709237212811	0.687305462037794	-4.3527874407486
"miR-340-5p"	1.91773876985524	2.86203170381785	1.95220216490434	0.0766697882821682	0.721017476956352	-4.36609912660761
"miR-6893-3p"	-2.03407122867393	4.07139891076352	-2.03677096374438	0.0663184197473865	0.687305462037794	-4.3718366516494
"miR-182-5p"	1.59495172498028	6.28330986224903	2.05196067160899	0.0646036309613458	0.687305462037794	-4.37865082188581
"miR-30e-5p"	1.38377005647946	7.33569738813208	2.07887826457352	0.0616667294651061	0.687305462037794	-4.38481829580269
"miR-30d-5p"	1.17739213617692	9.04361021873324	2.16747380018432	0.0528653047534898	0.687305462037794	-4.40782318633092
"miR-20a-3p"	1.72406002756467	3.05269382304662	1.91658010842791	0.0814640319664007	0.721017476956352	-4.41078026099171
"miR-4461"	1.13280406969641	8.84939130438995	2.18221536720965	0.0515217388511188	0.687305462037794	-4.41306742039915
"miR-652-3p"	1.81159062533746	5.05439920896586	1.94638937904491	0.0774338291823799	0.721017476956352	-4.4284168518133
"miR-296-3p"	1.37767430327157	3.39693664488225	2.03469626949435	0.0665559211366267	0.687305462037794	-4.43903539319311
"let-7a-5p"	1.29814421172392	9.96457788128564	2.1223869496293	0.057184145538505	0.687305462037794	-4.50325576387401
"miR-4784"	1.40694118162174	1.70538208100952	1.9216685837198	0.080762621322427	0.721017476956352	-4.59264327640936
"miR-92a-3p"	1.17442634274601	9.91527138057623	2.07053703357624	0.0625631107091118	0.687305462037794	-4.59801191628393
"let-7f-5p"	1.522919977515	9.65375811929869	2.03624814589947	0.0663781945334964	0.687305462037794	-4.64063819367098
"miR-1291"	1.49704059449129	3.55532802786998	1.77473643857167	0.103417106778021	0.74086760910193	-4.6410807579078
"miR-4443"	-1.07365276360465	6.49402595532586	-2.0244376468992	0.0677420373614144	0.687305462037794	-4.64888297549144
"miR-3663-5p"	-1.27835748483921	4.50976595903731	-1.92327105025533	0.0805428906650133	0.721017476956352	-4.66267708770466
"miR-1245a"	-1.57792212609907	3.62808684174447	-1.85351186096559	0.0906361625348352	0.726314113285909	-4.68407117054944
"miR-3610"	1.27296962117559	4.05022794141179	1.87338076782789	0.0876490256780381	0.726314113285909	-4.68628387312489
"miR-141-3p"	1.30474422111959	9.86015967535505	1.9876232005912	0.0721633046817217	0.701521961905918	-4.73013568618099
"miR-200b-5p"	1.52167057856129	3.32432495944629	1.68167066164281	0.120602601527873	0.761449295907618	-4.75088085468728
"miR-23c"	1.45868410192431	4.14016991663314	1.68727866185312	0.119498811021093	0.761449295907618	-4.76106698582858
"miR-362-5p"	1.90234656174298	3.11600951207345	1.67032669538998	0.122863180100138	0.761449295907618	-4.76847880183837
