Probeset WT-miRNA - Sample ID:	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
miR-1246	163	98225	198012	45983	38964	576	116637	52802	20167	155368	166018	49107	116	73	131932	82834	83172	81606	76813	113754	61912	44	6057	5331
miR-1247-3p	0	0	0	1	0	0	1	9	5	0	1	0	0	0	2	90	1	1	1	0	0	0	12	18
miR-1247-5p	0	1	0	0	2	0	2	5	3	0	0	0	0	0	0	78	1	0	0	2	2	0	15	16
miR-1248	0	16	31	1	2	31	330	3	0	2	17	0	4	4	174	12	23	5	2	6	2506	0	1	0
miR-1249	0	6	7	1	1	0	102	8	5	5	9	2	0	0	25	72	19	3	2	1	14	0	38	16
miR-1250-3p	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	11	0	1	1	0	0	0	5	2
miR-1250-5p	0	0	1	0	0	0	2	1	4	1	2	0	0	0	1	77	1	1	1	4	5	0	4	7
miR-1251-3p	0	0	1	0	0	0	0	3	0	3	1	1	0	0	2	32	0	2	0	0	2	0	2	4
miR-1251-5p	1	1	1	2	1	0	0	50	41	4	0	2	0	0	3	126	0	0	6	0	1	1	726	2228
miR-1252-3p	0	0	1	0	1	0	0	6	4	0	0	0	0	0	1	5	1	0	1	1	1	0	5	6
miR-1252-5p	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	3	0	1	1	0	0	0	3	5
miR-1253	0	0	0	1	0	0	1	1	1	0	3	0	0	0	2	36	0	0	2	0	3	0	0	0
miR-1254	0	15	42	25	30	0	52	44	17	29	33	11	0	1	55	2600	26	48	31	20	108	0	118	8
miR-1255b-2-3p	0	139	336	108	217	11	482	107	56	452	580	161	2	0	707	11630	356	259	264	106	658	0	17	2
miR-1256	0	1	11	2	3	0	6	1	0	5	10	1	1	0	12	263	3	3	4	0	24	0	0	0
miR-1257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	1	1	0	3	0	0	0
miR-1258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	2	0	0	0
