"logFC"	"AveExpr"
"miR-6880-5p"	-2.5513235040735	5.23861127431166
"miR-500b-5p"	3.30767034003357	3.72823802824612
"miR-6760-5p"	-3.77120744613203	3.77915627213415
"miR-1229-5p"	-2.7566124435539	3.95965718150207
"miR-2467-3p"	-2.61493778528951	4.37113695635879
"miR-1273e"	2.07020328830085	8.73214304745723
"miR-6500-3p"	3.58582460362343	4.32663299705231
"miR-8078"	2.85023481286286	6.89128038220179
"miR-421"	3.19398670329187	3.82023500337994
"miR-4640-3p"	-2.9421777123291	3.80122924952698
"miR-4265"	3.29827000431444	3.62337710234727
"miR-4259"	3.31892338832934	2.82588189638742
"miR-5703"	-2.53597125299608	3.32084309910558
"miR-4722-3p"	2.95830114648905	4.03711721973497
"miR-1538"	3.15185991014097	4.04691119074029
"miR-200c-3p"	-2.32708330591461	9.71107292950403
"miR-4655-5p"	-2.4144157637977	4.82437275553596
"miR-3689a-3p"	3.07893603381657	3.68860411378814
"miR-1273g-3p"	1.65078615417531	15.4707049320202
"miR-766-3p"	2.9431035366938	5.59080439949208
"miR-6829-3p"	2.6937433311861	3.81271234472373
"miR-619-5p"	1.67467976193001	15.3769442882302
"miR-92b-3p"	-3.15369133545835	7.73047678919727
"miR-3610"	-2.49213685367325	4.05022794141179
"miR-663b"	2.21506238118598	6.47845156263012
"miR-21-5p"	-2.62594684866978	12.4802388585092
"miR-1236-5p"	-2.80922711973922	3.20382356527328
"miR-6875-5p"	2.12981134174975	6.08053261400152
"miR-6851-5p"	-2.82914910694339	3.37270109839433
"miR-454-3p"	-2.97780493960501	5.17859530571666
"miR-1322"	2.57012123032369	4.73221646250311
"miR-8072"	-1.80400191043087	10.1127241706747
"miR-1306-5p"	2.39082387064693	4.69410592897055
"miR-141-3p"	-2.30093472363174	9.86015967535505
"miR-4421"	2.54490289079636	3.98291395384244
"miR-27b-3p"	-2.08906555626218	9.70197586309818
"miR-4436b-3p"	-2.43356156522251	3.5316492441272
"miR-566"	2.59541093793253	5.47166611967303
"miR-4728-3p"	2.18779042227814	5.48073264748766
"let-7d-5p"	-2.69337068519776	8.15764395058431
"miR-197-5p"	-1.84554053889063	6.08595237909945
"miR-1273d"	1.75706438257412	10.422112993988
"miR-548ay-5p"	2.44728213494215	5.18249276173716
"miR-198"	-2.79145106013101	3.66658497825027
"miR-5095"	2.06037437168149	10.2134880587527
"miR-149-5p"	2.71162060972993	5.28560712227608
"miR-1229-3p"	-1.95536962653499	5.4460610557727
"miR-4783-5p"	1.80314337942808	5.65532625759938
"miR-3187-5p"	3.13488482941598	3.68569804758819
"miR-5100"	2.04736564894951	5.06556732148259
"miR-34c-5p"	2.52187659630557	4.05423434320894
"miR-6778-5p"	-2.85175548729705	7.74873110787853
"miR-1914-3p"	-2.89690762822748	5.2557230695084
"miR-1273h-5p"	1.75552146594239	11.1265574252512
"miR-204-3p"	-2.23464954698088	3.77212119442545
"miR-3656"	-1.80866512299844	8.26457653846447
"miR-548d-5p"	1.64605189801846	7.95031177514231
"miR-103a-3p"	-2.07537242572852	7.76009619297802
