"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"miR-33b-5p"	-1.7982006242415	5.10106232850809	-1.53710544690285	0.15235132852093	0.78160174194407	-4.64434717274507
"miR-6894-5p"	1.67449972846455	4.78640849353738	1.74418786779786	0.108798278884909	0.78160174194407	-4.64435235253158
"miR-6796-3p"	-1.40598648904053	3.89880350356223	-1.55360799433307	0.148391192067329	0.78160174194407	-4.64895341610724
"miR-762"	0.929485262356039	10.9065593401667	1.84247412374063	0.0923356122988219	0.78160174194407	-4.66206566691558
"miR-19b-3p"	-1.07280056118057	10.6762009276779	-1.77284985691483	0.103742329072974	0.78160174194407	-4.66899516955959
"miR-602"	-1.30397519003892	5.91624236875105	-1.64283249479955	0.128499074754631	0.78160174194407	-4.67165923004728
"miR-6851-5p"	-1.37271557194424	3.37270109839433	-1.58581594429402	0.140919683162271	0.78160174194407	-4.67345354566869
"miR-30a-5p"	-1.27551707254937	8.4658945604299	-1.69869264941235	0.117280065872151	0.78160174194407	-4.6802443227442
"miR-4665-5p"	1.50522590677841	3.90885523749016	1.50034974056979	0.161501877153386	0.78160174194407	-4.68789494425942
"miR-548at-5p"	0.967619635237737	5.16100899981044	1.71882517390228	0.11345617733153	0.78160174194407	-4.68886987119837
"miR-20a-5p"	-0.982352506715188	9.5431180486168	-1.75027850328325	0.107705666785532	0.78160174194407	-4.70615131609872
"miR-132-3p"	-1.0070843233134	7.37426663022741	-1.72000580009946	0.113235441899054	0.78160174194407	-4.70849300467229
"miR-130b-5p"	-1.43047357743131	4.10202268106046	-1.46543119687512	0.170629030682142	0.78160174194407	-4.71194995902015
"miR-101-3p"	-1.15415991636769	7.64918125346388	-1.69582641184306	0.11783374107411	0.78160174194407	-4.71204292871701
"miR-6890-3p"	-1.28240665335936	4.00666836057817	-1.53009802865251	0.154060437169222	0.78160174194407	-4.71905386161223
"miR-320c"	-1.06816853145122	7.48743705787511	-1.63014770713799	0.131175588474439	0.78160174194407	-4.73252584559349
"miR-27a-3p"	-1.08674595200138	12.1867280328746	-1.73199093951326	0.111016363920065	0.78160174194407	-4.73320091367233
"miR-6893-3p"	-1.56628244334069	4.07139891076352	-1.52420481020323	0.155510616940258	0.78160174194407	-4.74467063890199
"miR-200b-3p"	-1.12040320377728	8.47606923956273	-1.68398499353272	0.120145988023557	0.78160174194407	-4.74480234415216
"miR-20b-5p"	-0.970386327285508	8.69493539643001	-1.70634893207338	0.115812478025162	0.78160174194407	-4.74678480026609
"miR-378d"	-1.46312547153715	4.66131375806928	-1.44437063335703	0.176344132802587	0.78160174194407	-4.74759439001249
"miR-1229-5p"	1.11726998162383	3.95965718150207	1.55897376858079	0.14712298722829	0.78160174194407	-4.75046492916056
"miR-331-3p"	-1.22854813080873	5.74352883625264	-1.4996396636957	0.161683219681857	0.78160174194407	-4.75531114861117
"miR-4436b-3p"	1.19632783129877	3.5316492441272	1.54935125638825	0.149404029690686	0.78160174194407	-4.75922796451543
"miR-3197"	-0.859299178807055	11.5788373031107	-1.7344242109853	0.110570638223488	0.78160174194407	-4.76928145577326
"miR-7-1-3p"	-1.21427424789928	4.39232509371005	-1.42271140101396	0.182390415722134	0.783750119733518	-4.7830539910026
"miR-6803-5p"	1.09109883625218	9.04268321262403	1.70712803694386	0.115664060977083	0.78160174194407	-4.78349813725867
"miR-6500-3p"	1.41399120088956	4.32663299705231	1.42401509298124	0.182021587797818	0.783750119733518	-4.7936707614511
"miR-204-3p"	1.12128224772708	3.77212119442545	1.51438682646149	0.157952794561036	0.78160174194407	-4.79502711565236
"miR-6812-5p"	-1.06606173897539	4.1148483233017	-1.56503345323672	0.145702134504991	0.78160174194407	-4.796235223787
