"N2_3_Day0"	"N2_3_Day5"	"mir71_3_Day0"	"mir71_3_Day5"	"N2_1_Day0"	"N2_1_Day5"	"mir71_1_Day0"	"mir71_1_Day5"	"N2_2_Day0"	"N2_2_Day5"	"mir71_2_Day0"	"mir71_2_Day5"
"cel-miR-1829b.ref.0.0.0.0"	2.52834121211086	2.42062573978415	2.52707783864687	3.02438567678382	2.88065538003006	1.73671757400641	3.43746804861465	2.61611068466935	1.72021564537687	2.13332001480029	2.16489185046593	2.17338352289237
"cel-miR-1829c.ref.0.0.0.0"	6.68194943730894	7.0004410965014	7.35557742629096	7.74689807399731	7.10597413521703	6.36059574015971	7.66976039389018	8.30723692051992	6.59828059969161	6.68855763345345	6.34298469409035	7.64742928835284
"cel-miR-1830-3p.ref.0.0.0.0"	6.59137447737966	5.48717340181107	6.9040279045622	5.67584214963332	6.6122201276324	5.77404644463417	7.20556788971801	5.87851319880591	7.00571943864558	5.10553663000095	6.79882150715824	5.21855253319101
"cel-miR-2208a-5p.ref.0.0.0.0"	2.49645328504405	4.24325671492172	2.56174963991097	4.7327400187898	2.79033829844763	5.0115716953815	2.78155988906835	5.95255091699566	2.39323502380563	3.5804614913922	2.66629466219537	3.98723637008193
"cel-miR-2208b-5p.ref.0.0.0.0"	2.63361634119442	2.94966554727499	2.81292609658929	3.15915631228032	3.16172922333626	3.29886278037058	2.82380918273381	3.69400782540133	2.84175007202676	2.93298454900638	2.84633140200007	3.50780725939734
"cel-miR-2209a-3p.ref.0.0.0.0"	3.74268250584762	5.06418906022035	4.35439464312916	5.07716538255478	3.94416862850476	5.02629435613452	4.20720464953142	5.48075542781706	3.65676424521538	4.74795042269602	3.44852916291988	4.85608673240116
"cel-miR-2209c-3p.ref.0.0.0.0"	1.56617391236687	2.23778425203857	2.00581693912289	2.69249639848574	1.52151992162743	2.43133730019037	1.80843404691657	3.093890533937	1.50368885282476	2.87540306595937	1.54155293434366	2.64740401655045
"cel-miR-2210-3p.ref.0.0.0.0"	3.81959443227755	3.34994662447118	3.68696342675669	2.95990558427906	3.51828533002805	3.74409097872616	3.31983081644266	3.3740131326699	3.77505168854589	3.19179351114545	3.27840389564157	3.10323221054635
"cel-miR-2212-5p.ref.0.0.0.0"	2.66095466969839	2.77953032870675	3.31974752968551	2.72836211566227	2.64538529501056	2.07861010944942	3.77781838433248	3.07960689677393	2.05061661903298	1.8733783350427	2.2992172815381	2.54481692293773
"cel-miR-2214-5p.ref.0.0.0.0"	4.77532540836919	5.12004353058573	4.48599158342854	5.31403857625703	4.35959780528133	5.13156787799559	4.59468415408201	5.34000358188879	4.34529721578246	5.27663656644902	4.53697819621791	5.29486289901067
"cel-miR-228-3p.ref.0.0.0.0"	5.43736878685401	4.13758904804334	5.28059391033799	4.88068542957353	5.45614891441535	4.86766717636737	5.50725598053581	5.77869125374317	5.49792189809068	4.44062315385285	5.37467336762123	4.97522162894452
