"N2_3_Day0"	"N2_3_Day5"	"mir71_3_Day0"	"mir71_3_Day5"	"N2_1_Day0"	"N2_1_Day5"	"mir71_1_Day0"	"mir71_1_Day5"	"N2_2_Day0"	"N2_2_Day5"	"mir71_2_Day0"	"mir71_2_Day5"
"cel-lin-4-5p.iso.0.u-A.u-T.0"	79.7912307925086	163.411914422459	75.8455880902419	110.943709481791	121.546880178098	85.764387415387	94.9650512602251	177.633186315325	93.7004666593124	100.692390484378	133.602030259456	108.03555616464
"cel-lin-4-5p.iso.0.u-GA.0.0"	87.7703538717595	42.3660518873041	72.6853552531484	0	89.2997487022763	44.107399242199	0	0	85.892094437703	36.0017485530738	108.551649585808	0
"cel-lin-4-5p.iso.0.u-TGA.0.0"	394.168680114993	76.9505840402054	290.741421012594	101.101928801954	375.803109122079	86.9895929498926	331.925464880977	152.961910438197	450.654625361455	79.3163522809908	244.93705547567	123.61760753454
"cel-lin-4-5p.ref.0.0.0.0"	2701.73107463434	2369.04045247374	3036.98375644677	3863.346270503	3274.32411908346	1552.33541221851	6425.06403954894	6479.9106091278	3704.51487828067	1891.7793809998	3136.86433546682	3930.83215891342
"cel-lsy-6.iso.0.d-A.0.0"	7.97912307925086	4.32306651911266	24.2284517510495	24.1570980323254	8.6819200127213	0	32.5594461463629	39.4740414034056	13.3857809513303	3.93769124799245	11.1335025216214	18.1790599315499
"cel-miR-1018.iso.0.0.u-T.0"	1.59582461585017	6.05229312675773	4.21364378279121	10.7364880143668	2.48054857506323	22.0536996210995	5.42657435772715	24.6712758771285	0	6.18780053255957	1.39168781520267	7.27162397261997
"cel-miR-1020-3p.iso.0.0.u-T.0"	25.5331938536028	11.2399729496929	15.8011641854671	15.2100246870197	29.7665829007588	7.35123320703317	56.0746016965138	19.7370207017028	18.9631896810513	4.50021856913423	15.3085659672294	15.0626496575699
"cel-miR-1020-3p.iso.0.u-AG.0.0"	7.97912307925086	0	16.8545751311649	3.57882933812228	17.3638400254426	1.22520553450553	35.2727333252265	12.3356379385642	5.57740872972098	3.37516392685067	9.7418147064187	1.55820513698999
"cel-miR-1020-3p.iso.0.u-G.0.0"	4.78747384755052	4.32306651911266	14.7477532397693	4.47353667265285	7.44164572518969	0	18.993010252045	12.3356379385642	3.34644523783259	1.12505464228356	1.39168781520267	7.27162397261997
"cel-miR-1020-3p.iso.u-A.0.0.0"	1.59582461585017	1.72922660764507	5.26705472848902	8.05236601077512	3.72082286259484	0	18.0885811924238	6.16781896928212	5.57740872972098	2.25010928456712	4.17506344560802	2.59700856164999
"cel-miR-1020-3p.iso.u-A.u-G.0.0"	14.3624215426515	12.1045862535155	51.6171363391924	11.6311953488974	17.3638400254426	3.67561660351659	45.2214529810595	20.9705844955592	20.0786714269955	5.06274589027601	11.1335025216214	12.98504280825
"cel-miR-1020-3p.ref.0.0.0.0"	9.57494769510103	7.7815197344028	30.5489174252363	15.2100246870197	21.0846628880375	2.45041106901106	55.1701726368927	24.6712758771285	10.0393357134978	4.50021856913423	9.7418147064187	6.75222226028997
"cel-miR-1022-5p.iso.0.0.0.1CA"	22.3415446219024	6.91690643058026	29.4955064795385	20.5782686942031	14.8832914503794	9.80164427604423	38.8904495637112	29.6055310525542	23.4251166648281	7.31285517484312	19.4836294128374	15.5820513698999
"cel-miR-1022-5p.iso.0.0.u-C.0"	0	6.05229312675773	5.26705472848902	0	9.92219430025292	6.12602767252765	0	28.3719672586978	8.92385396755356	3.93769124799245	20.8753172280401	0
