"N2_3_Day0"	"N2_3_Day5"	"mir71_3_Day0"	"mir71_3_Day5"	"N2_1_Day0"	"N2_1_Day5"	"mir71_1_Day0"	"mir71_1_Day5"	"N2_2_Day0"	"N2_2_Day5"	"mir71_2_Day0"	"mir71_2_Day5"
"cel-miR-1822-3p"	6.71214605425469	7.18165489464536	7.45927809518083	7.57514526078307	7.01539322057066	6.72787831722065	7.45700433821743	8.13913687870788	6.75035515104751	6.58730882174836	6.76703860056989	7.50417581026089
"cel-miR-1829a-3p"	6.43099602221804	6.94862059556747	6.73023000755109	7.39574204173165	7.06781963584094	6.30627185534314	6.94512279835094	8.08482452660179	6.38122075016479	6.81800356209003	6.29685509548691	7.4476684295986
"cel-miR-1829a-5p"	8.21789512822003	8.37578504164824	8.52556662168245	8.90555011977781	8.31110961592764	8.21790687743875	8.72462631911667	9.40375444683007	8.23431534506688	8.12425048279459	7.84259017661613	8.62043462319216
"cel-miR-1829b"	3.49210128281052	3.55644959662042	3.54677541204395	3.66817095949243	3.82210118696152	2.69612794341901	4.19441455792923	3.71474055625816	2.65971098842604	2.98892207068988	2.88857681358304	2.8923388648029
"cel-miR-1829c"	7.2180024246235	7.52463106077013	7.70991981679259	8.17477910918453	7.57549414723457	6.78462581822617	8.04307214718377	8.81121948781097	6.95936124047398	7.104000369545	6.90825250917695	8.05925041811424
"cel-miR-1830-3p"	6.97878349003537	6.21937478643594	7.32785588586798	6.23302311231382	7.13926640810164	6.47207734002348	7.62126759582849	6.61651389246691	7.35234504615891	5.66830438423073	7.29613824241372	5.82920392817829
"cel-miR-1832a"	3.21939442586872	3.53120660482261	3.10822833826007	3.65185529753111	3.52763674842232	4.5351458520259	3.45259194130758	4.18809920889309	3.58969132865744	3.56433344488459	3.25636089863256	3.16948806953805
"cel-miR-2208b-3p"	2.39577041147136	3.06355358400757	2.06968556407736	2.81779506536042	2.13071193162761	2.12604710117299	2.25891628009497	3.22057474431248	2.35802615351483	2.35459701066372	1.77283273843093	2.99864698229665
"cel-miR-2208b-5p"	3.32046443913294	3.71459251820908	3.58045275216173	3.73791665090114	3.96919286902042	3.96026465153746	3.48585189690473	4.43790149013739	3.48197248651608	3.61818836883934	3.35517993466562	4.10162093394945
"cel-miR-2209a-3p"	4.17364660795107	5.7823841110525	4.93657746072471	5.6263348631899	4.78260138202835	5.98454097356983	5.07358786753597	6.25434989459064	4.39578309847976	5.34616503453974	4.34021080246208	5.4523953785072
"cel-miR-2209c-3p"	2.64053885475674	3.20141549461518	2.443081087975	3.50318021900003	1.99314446885425	3.33737840270618	2.2461102109661	3.99035389029185	1.9697202171549	3.59362319095	2.01941228178736	3.29301088132299
"cel-miR-2210-3p"	4.59955431510626	4.0605587670279	4.41883475903181	3.71402340283308	4.44042522120225	4.39286652198659	4.05239863053677	4.02873477362815	4.58817210215438	3.77647782203666	4.05208769172237	3.75968912126976
"cel-miR-2212-5p"	5.03833447831621	4.37072293310107	5.34900519321845	4.65110059567411	4.98920492076337	4.28840603582234	5.64801705064912	5.37834026153412	4.54670212895998	3.75925676619319	4.96146553087287	4.29520052912041
"cel-miR-2214-3p"	3.1241237988865	4.89177011131875	3.10812558728867	5.51138055690225	3.17396525492178	4.12498206117659	3.34249681708879	5.30630599528303	3.35513066842413	5.19588648352406	3.75429469682315	4.91719755159143
"cel-miR-2214-5p"	6.62715135111121	7.25992721579386	6.46843217208704	7.58985210430114	6.21985575489315	7.49252262663241	6.41107952886675	7.72956133369034	6.40035869609997	7.45415503345991	6.31660213801892	7.35512783904039
