"N2_3_Day0"	"N2_3_Day5"	"mir71_3_Day0"	"mir71_3_Day5"	"N2_1_Day0"	"N2_1_Day5"	"mir71_1_Day0"	"mir71_1_Day5"	"N2_2_Day0"	"N2_2_Day5"	"mir71_2_Day0"	"mir71_2_Day5"
"cel-miR-1829a-3p"	65.4288092498571	126.23354235809	96.9138070041979	209.361516280153	145.112091641199	55.1342490527488	125.715639287346	430.513764055892	61.3514960269307	108.005245659222	54.2758247929042	221.265129452579
"cel-miR-1829a-5p"	263.311061615278	319.042309110515	380.281351396907	581.55976744487	295.185280432524	263.419189918689	476.634114420368	980.683216115858	268.831100772551	234.573892916122	161.43578656351	423.831797261278
"cel-miR-1829b"	12.7665969268014	13.8338128611605	13.6943422940714	16.1047320215502	19.8443886005058	2.45041106901106	30.7505880271205	17.2698931139899	2.23096349188839	5.62527321141779	4.17506344560802	4.67461541096998
"cel-miR-1829c"	122.878495420463	179.839567195087	223.323120487934	373.092958499247	191.002240279869	67.3863043978041	323.785603344386	719.167691818296	87.0075761836472	106.317663695796	80.717893281755	329.300685617219
"cel-miR-1830-3p"	142.028390810665	55.3352514446421	208.575367248165	56.3665620754259	169.917577391831	77.1879486738483	283.990724721054	92.5172845392319	214.172495221286	23.6261474879547	201.794733204387	31.1641027397999
"cel-miR-1832a"	6.38329846340069	11.2399729496929	5.26705472848902	13.4206100179585	11.1624685877845	40.4317826386825	9.9487196558331	27.1384034648413	12.2702992053861	11.8130737439774	6.95843907601336	6.23282054795998
"cel-miR-2208b-3p"	4.78747384755052	13.8338128611605	2.10682189139561	9.84178067983626	2.48054857506323	2.45041106901106	3.61771623848476	17.2698931139899	4.46192698377678	4.50021856913423	0	12.46564109592
"cel-miR-2208b-5p"	6.38329846340069	12.969199557338	10.534109456978	13.4206100179585	18.6041143129742	18.3780830175829	9.04429059621191	33.3062224341235	8.92385396755356	11.2505464228356	6.95843907601336	21.8148719178599
"cel-miR-2209a-3p"	6.38329846340069	73.4921308249153	26.3352736424451	61.7348060826093	21.0846628880375	91.8904150879147	31.6550170867417	122.122815591786	11.154817459442	44.4396583702005	9.7418147064187	50.3819660960098
"cel-miR-2209c-3p"	4.78747384755052	12.1045862535155	3.16023283709341	17.8941466906114	0	14.7024664140663	1.80885811924238	32.072658640267	0	19.6884562399623	0	13.5044445205799
"cel-miR-2210-3p"	31.9164923170034	15.5630394688056	25.2818626967473	8.94707334530569	26.0457600381639	24.5041106901106	15.3752940135602	14.8027655262771	31.2334888864375	10.125491780552	15.3085659672294	9.86863253426996
"cel-miR-2212-5p"	38.2997907804041	15.5630394688056	54.7773691762858	23.2623906977948	35.9679543384168	13.4772608795608	75.97204100818	56.7439345173955	20.0786714269955	5.06274589027601	34.7921953800668	14.0238462329099
"cel-miR-2214-3p"	1.59582461585017	43.2306651911266	2.10682189139561	83.2077821113429	2.48054857506323	17.1528774830774	4.52214529810596	67.8460086621034	4.46192698377678	59.6278960410286	9.7418147064187	44.1491455480498
"cel-miR-2214-5p"	82.982880024209	177.245727283619	67.4183005246594	254.096883006682	47.1304229262014	229.113434952534	62.4056051138622	294.821746731685	61.3514960269307	219.385655245294	54.2758247929042	196.853248973069
"cel-miR-2216-5p"	4.78747384755052	0.864613303822533	9.48069851128023	7.15765867624455	6.20137143765807	1.22520553450553	10.8531487154543	14.8027655262771	3.34644523783259	3.93769124799245	0	5.19401712329998
"cel-miR-2220-3p"	4.78747384755052	10.3753596458704	6.32046567418682	13.4206100179585	3.72082286259484	8.5764387415387	8.13986153659072	29.6055310525542	0	3.37516392685067	0	10.3880342466
"cel-miR-228-3p"	68.6204584815574	18.1568793802732	56.8841910676814	42.0512447229368	85.5789258396814	31.8553438971438	71.4498957100741	112.254305240935	84.7766126917588	21.3760382033876	64.0176394993229	45.1879489727098
"cel-miR-228-5p"	39678.5832484987	26443.3332841084	53624.9376016924	51889.4465734349	31655.5206406694	35588.5451607821	62217.483869461	102935.964342143	46745.3780455375	19813.8998325769	20413.2768733928	36566.9193514565
"cel-miR-229-3p"	260.119412383578	204.91335300594	323.397160329226	215.624467621867	406.80996631037	222.987407280006	406.993076829536	337.99647951666	440.615289647957	166.508087057967	264.420684888508	249.312821918399
"cel-miR-229-5p"	2353.841308379	4361.10950448086	3904.99437570176	7214.91994565451	2917.12512427436	1797.37651911961	5730.46252175987	10702.3994754983	1887.39511413758	2004.8473725493	2307.41839760603	5292.70344864268
"cel-miR-230-3p"	730.887674059379	83.8674904707857	652.06137538694	150.310832201136	539.519315076252	156.826308416708	602.349753707713	299.756001907111	723.947653117783	77.0662429964237	503.790989103367	136.602650342789
