"V1" "exp-pA<15" "polyA-pA<15" "UU-pA<15" "U-pA<15" "U>3-pA<15" "polyA-NoU-pA<15" "exp-pA<25" "polyA-pA<25" "UU-pA<25" "U-pA<25" "U>3-pA<25" "polyA-NoU-pA<25" "exp" "polyA-pA>25" "UU-pA>25" "U-pA>25" "polyA-NoU-pA>25" "symbol"
"ENSG00000108518" 325 5 0 0 0 0 325 2 0 0 0 0 325 42 0 0 0 "PFN1"
"ENSG00000108561" 493 6 0 0 0 0 493 11 0 2 0 0 493 39 0 0 0 "C1QBP"
"ENSG00000108654" 712 19 2 5 2 0 712 11 0 0 0 3 712 25 0 0 0 "DDX5"
"ENSG00000108953" 642 9 0 0 0 0 642 3 0 0 0 0 642 53 3 0 0 "YWHAE"
"ENSG00000109475" 429 17 0 0 0 2 429 4 0 2 0 0 429 87 0 0 0 "RPL34"
"ENSG00000109861" 571 8 0 0 0 0 571 5 2 2 0 0 571 32 0 0 0 "CTSC"
"ENSG00000109971" 1997 23 2 0 0 0 1997 4 2 0 0 0 1997 29 0 0 0 "HSPA8"
"ENSG00000110321" 1385 21 0 3 0 0 1385 18 0 2 3 0 1385 32 0 0 0 "EIF4G2"
"ENSG00000110700" 1050 21 2 0 0 0 1050 17 4 0 0 0 1050 162 4 0 0 "RPS13"
"ENSG00000110955" 780 9 0 2 0 0 780 13 0 0 0 0 780 69 2 0 0 "ATP5B"
"ENSG00000111371" 1140 16 0 0 0 0 1140 5 0 0 0 0 1140 23 0 0 0 "SLC38A1"
"ENSG00000111639" 252 3 0 0 0 0 252 2 0 0 0 0 252 48 0 0 0 "MRPL51"
"ENSG00000111640" 2114 21 0 0 0 0 2114 8 0 0 0 0 2114 16 0 0 0 "GAPDH"
"ENSG00000111716" 1572 47 0 0 0 0 1572 28 3 3 3 0 1572 133 4 0 2 "LDHB"
"ENSG00000111843" 327 12 2 0 0 0 327 8 0 0 0 0 327 27 2 0 0 "TMEM14C"
"ENSG00000112081" 593 11 0 0 0 0 593 10 0 0 0 0 593 28 0 0 0 "SRSF3"
"ENSG00000112110" 144 3 0 0 0 0 144 4 0 0 0 0 144 38 0 0 0 "MRPL18"
"ENSG00000112245" 1128 28 2 3 0 0 1128 9 0 0 0 0 1128 18 0 0 0 "PTP4A1"
"ENSG00000112306" 559 12 0 0 0 0 559 4 0 0 0 0 559 43 2 0 0 "RPS12"
"ENSG00000112695" 328 11 0 0 0 0 328 5 0 0 0 0 328 37 0 0 0 "COX7A2"
"ENSG00000112996" 508 15 4 3 0 0 508 6 0 0 0 0 508 26 0 0 0 "MRPS30"
"ENSG00000113013" 933 41 0 9 7 0 933 10 0 0 4 0 933 66 3 2 0 "HSPA9"
"ENSG00000113369" 639 15 0 0 0 0 639 6 0 0 0 0 639 10 0 0 0 "ARRDC3"
"ENSG00000113384" 609 19 0 5 0 0 609 11 2 0 0 0 609 14 0 0 0 "GOLPH3"
"ENSG00000113387" 1099 22 0 2 0 0 1099 19 4 6 0 0 1099 92 2 0 0 "SUB1"
"ENSG00000113407" 1599 34 6 4 0 3 1599 11 0 3 0 0 1599 54 2 0 0 "TARS"
"ENSG00000113448" 1062 17 2 2 0 0 1062 7 0 2 0 0 1062 14 0 0 0 "PDE4D"
"ENSG00000113460" 577 21 6 5 0 0 577 11 0 0 0 0 577 28 0 0 0 "BRIX1"
"ENSG00000113558" 261 3 0 0 0 0 261 8 0 0 0 0 261 24 0 0 0 "SKP1"
"ENSG00000113569" 958 16 0 3 0 0 958 6 0 0 0 0 958 25 0 0 2 "NUP155"
"ENSG00000113580" 579 26 6 3 3 0 579 0 0 0 0 0 579 9 0 0 0 "NR3C1"
"ENSG00000114251" 582 20 0 3 0 0 582 3 0 0 0 0 582 16 0 0 0 "WNT5A"
"ENSG00000114391" 423 8 0 0 0 0 423 4 0 0 0 0 423 31 0 0 0 "RPL24"
"ENSG00000114686" 350 4 0 0 0 0 350 7 3 0 0 0 350 20 3 0 0 "MRPL3"
"ENSG00000115053" 471 7 0 0 0 0 471 11 0 2 0 0 471 17 0 0 0 "NCL"
"ENSG00000115091" 712 18 0 2 0 0 712 10 2 4 0 0 712 29 0 0 0 "ACTR3"
"ENSG00000115128" 317 10 0 0 0 0 317 5 0 0 0 0 317 39 0 0 0 "SF3B6"
"ENSG00000115306" 592 14 0 0 0 0 592 9 0 0 0 0 592 13 0 0 0 "SPTBN1"
"ENSG00000115310" 380 11 0 0 0 0 380 4 0 0 0 0 380 28 0 0 5 "RTN4"
"ENSG00000115524" 1018 13 0 0 0 0 1018 11 0 0 0 0 1018 16 0 0 0 "SF3B1"
"ENSG00000115541" 425 24 3 6 2 0 425 23 2 0 2 0 425 101 0 0 0 "HSPE1"
"ENSG00000115758" 613 17 3 0 3 0 613 14 3 0 2 0 613 36 2 0 0 "ODC1"
"ENSG00000115919" 384 13 0 0 0 0 384 5 0 0 0 0 384 19 0 0 0 "KYNU"
"ENSG00000116044" 234 19 0 6 0 0 234 3 2 0 0 0 234 12 0 0 0 "NFE2L2"
"ENSG00000116209" 497 5 0 0 0 0 497 6 0 0 0 0 497 44 0 0 2 "TMEM59"
"ENSG00000116288" 295 10 0 0 0 0 295 7 0 0 0 0 295 39 0 0 0 "PARK7"
"ENSG00000116459" 398 7 0 0 0 0 398 3 0 0 0 0 398 20 2 0 2 "ATP5F1"
"ENSG00000116560" 399 15 0 2 0 0 399 4 0 0 0 0 399 18 0 0 0 "SFPQ"
"ENSG00000116898" 135 2 0 0 0 0 135 4 0 0 0 0 135 31 0 0 0 "MRPS15"
"ENSG00000117118" 354 5 0 0 0 0 354 3 2 0 0 0 354 28 0 0 0 "SDHB"
"ENSG00000117318" 641 24 6 2 0 0 641 24 4 0 0 0 641 21 0 0 0 "ID3"
"ENSG00000117395" 224 5 0 0 0 0 224 5 0 0 0 0 224 61 0 0 0 "EBNA1BP2"
"ENSG00000117450" 1553 46 0 3 0 2 1553 20 2 0 0 0 1553 104 3 0 3 "PRDX1"
"ENSG00000117632" 552 12 0 0 0 0 552 5 0 0 0 0 552 32 0 0 0 "STMN1"
"ENSG00000117724" 951 16 0 0 0 0 951 5 0 0 0 0 951 18 0 0 0 "CENPF"
"ENSG00000118515" 770 15 2 3 0 0 770 7 0 0 0 0 770 12 0 0 0 "SGK1"
"ENSG00000118705" 618 9 0 0 0 0 618 4 2 0 0 0 618 20 0 0 0 "RPN2"
"ENSG00000119335" 978 22 2 0 2 0 978 20 0 5 2 0 978 75 2 0 0 "SET"
"ENSG00000119705" 320 4 0 0 0 0 320 10 2 0 0 0 320 85 0 0 0 "SLIRP"
"ENSG00000120708" 1961 33 0 0 0 6 1961 6 0 0 0 0 1961 65 3 0 4 "TGFBI"
"ENSG00000120802" 792 13 2 0 0 0 792 11 0 0 0 0 792 19 0 0 0 "TMPO"
"ENSG00000120885" 1028 14 0 0 0 0 1028 12 0 0 0 0 1028 86 0 0 0 "CLU"
"ENSG00000122406" 971 17 3 0 0 0 971 30 3 3 0 0 971 211 3 0 2 "RPL5"
"ENSG00000122565" 438 11 2 0 0 0 438 10 0 0 0 0 438 29 0 0 0 "CBX3"
"ENSG00000122566" 641 14 0 2 0 0 641 2 0 0 0 0 641 22 0 0 0 "HNRNPA2B1"
"ENSG00000122705" 313 12 0 2 0 0 313 13 0 2 0 0 313 24 0 0 0 "CLTA"
"ENSG00000123080" 282 7 0 3 2 0 282 5 2 0 0 0 282 26 0 0 0 "CDKN2C"
"ENSG00000123562" 837 15 2 0 0 0 837 3 0 0 0 0 837 17 0 0 0 "MORF4L2"
"ENSG00000124172" 587 18 0 0 0 0 587 6 0 0 0 0 587 165 2 0 0 "ATP5E"
"ENSG00000124207" 1041 16 0 0 0 2 1041 5 0 0 0 0 1041 26 0 0 0 "CSE1L"
"ENSG00000124529" 2226 23 0 0 0 0 2226 5 0 0 0 0 2226 14 0 0 0 "HIST4H4"
"ENSG00000124635" 2126 24 0 0 0 0 2126 4 0 0 0 0 2126 17 0 0 0 "HIST1H2BJ"
