PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8
1625439_at_Tsp29Fa	0.0393678940754981	-0.00444505340139874	0.00317990786292867	0.0188866422296925	0.0157759324646746	0.0205915770593298	0.0176295638953395	0.000258508353110106
1637292_at_Esp	0.07735281668001	-0.0766763737656461	0.00641890368188391	0.0489454447524448	0.0309510262650564	-0.00914847932753121	0.0228408480456036	-0.00696089788988141
1625594_s_at_Pka-R2	0.033261819210321	-0.00436889199905677	0.00158526133293347	-0.0193543177840504	-0.00911131313124166	0.00514852838084578	-0.00193647920639057	-0.00218134668052472
1624357_at_cona	-0.0633338409918627	0.0348103773043246	-0.0167842083445918	-0.0225158593726319	-0.0148438959577078	0.0115658275210779	0.0014985228673557	0.0197379810966581
1625178_at_CG31038	-0.0315577297316869	0.0106779843743228	0.00188951173577577	-0.00423790277625574	-0.0241855049447959	0.00274351148801277	0.00673145194456998	-0.00731977788839081
1628247_at_Him	0.0400423038539117	0.00190562573429477	-0.0164426184748065	0.0133609267526712	-0.0145476432663081	0.00329742127594322	0.0192098451351919	0.00179294369007498
1631027_at_ara	0.0284365833677677	0.0058225340806573	-0.00106386505048395	0.00568696081330201	0.00371339908201331	-0.00990486831789196	0.00382211143936155	-0.00399729718630952
1634465_a_at_GluClalpha	0.0192636517377705	-0.0122292903146395	0.0098150270448395	0.000180191359430507	0.0120365975527631	0.00598625804941746	0.0053599382216739	-0.00489122682868994
1628146_at_crb	0.0551578141688579	-0.028623502431977	-0.0175875439841666	0.00272731245129712	-0.00114165482505112	-0.0255074906136853	0.0122325094865954	-0.00429831110635323
1640383_at_Oseg5	0.046814166665653	0.0166390680032123	-0.000433891543392693	-0.00902278392167876	-0.00451827671229338	-0.00020108991017965	-0.00107817506019096	-0.00259992542081845
1641305_at_piwi	0.060745422723713	0.0165455605213542	-0.00111122582126665	-0.00641788760760033	-0.0201090496665277	-0.0188656668963078	0.0195510938715226	0.00932581334664817
1635238_s_at_Mbs	-0.0134071597277224	0.00203587239601707	0.00782685333466516	-0.00108559897671522	-0.0128134718742855	-0.00263187816369241	0.00219905482021009	-0.0139681432412327
1626839_s_at_blot	0.0400862595928882	0.00183766939338024	-0.0113687241337617	-0.000551796471529103	0.0203013580570549	-0.00380585461496158	0.0041208729099126	-0.000363075852823462
1629318_at_CG17104	0.0718984925069302	0.0176506906740673	0.00273171442533376	-0.0205148610588999	0.0121330556292749	0.000453066335334957	-0.0105071374713565	-0.00323314148039447
1634031_at_Best2	0.0693824740474116	-0.0148875964613748	0.00661422582367204	-0.0289434458928745	-0.0057154704695516	0.0199761886014116	0.0120589798894421	-0.00235382829937884
