"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"miR-6516-5p"	1.17950239387603	4.36285691150703	1.26308319805931	0.232521550141313	0.808443044594397	-5.30114318243711
"miR-19a-3p"	0.881503247010528	8.63427649924105	1.57889112322937	0.142497743954326	0.761449295907614	-5.30274443829566
"miR-6741-5p"	1.37585724086775	10.5578998168387	1.58235959814734	0.141705409659575	0.761449295907614	-5.3136681725679
"miR-29b-3p"	1.06871838809862	9.79280568276133	1.57684610369681	0.142966718843413	0.761449295907614	-5.31849922380216
"miR-1260b"	-0.815613840016339	10.210604315475	-1.59956140574007	0.137832589028272	0.761449295907614	-5.32025470196843
"miR-6845-3p"	-0.86260498665783	6.67060253231701	-1.50612888401395	0.160032470916784	0.76874712693863	-5.32489658400352
"miR-4783-5p"	-0.862940946203794	5.65532625759938	-1.49694837124942	0.162372123936821	0.76874712693863	-5.33023083632476
"miR-191-5p"	0.861542389302262	7.96250326486354	1.53884778561053	0.151928931899786	0.76874712693863	-5.33164018685158
"miR-30e-3p"	0.988125232313313	5.29839634610307	1.31814443375756	0.214086165114386	0.808443044594397	-5.37250142560869
"miR-1271-5p"	1.0236221504876	4.96308007164583	1.22308347252373	0.246703663856572	0.808443044594397	-5.3775268308074
"miR-181a-5p"	0.904962457764602	9.03264805908474	1.51868851326606	0.156878724003503	0.76874712693863	-5.39201159257714
"miR-6820-5p"	-1.00350424026327	3.9083991976263	-1.25254380264982	0.236193008873861	0.808443044594397	-5.40162005700955
"miR-3934-5p"	-1.01503097770163	4.27829704941616	-1.1895883439295	0.25910377076579	0.808443044594397	-5.40208430795677
"miR-6879-3p"	2.05794132089496	3.59438093597109	1.18651325111614	0.260266469426894	0.808443044594397	-5.41704993621262
"miR-1292-3p"	-1.43026075065886	3.83191444784996	-1.2737482084261	0.228853444427047	0.808443044594397	-5.41890192139034
"miR-196b-5p"	0.970040026003094	3.75140877979571	1.1837919655409	0.261298821249799	0.808443044594397	-5.43375734342935
"miR-200a-3p"	0.912401221758136	8.4950449380048	1.46716566595363	0.170165474536881	0.76874712693863	-5.4412717220179
"miR-1973"	0.823259209943656	10.952099886653	1.52901762974972	0.154325418072867	0.76874712693863	-5.44402208595814
"miR-18b-5p"	1.04639730405196	4.71736219376204	1.13837038202692	0.279009202560732	0.808443044594397	-5.45849502126402
"miR-376c-3p"	-1.04948512723429	7.66855747892249	-1.46798645986554	0.169946483253052	0.76874712693863	-5.46350089940159
"miR-378a-3p"	0.984027047580219	5.99911290533351	1.14801398678664	0.275173002456262	0.808443044594397	-5.46861145527897
"miR-30b-5p"	0.790001933597243	9.21757907766396	1.4725961504052	0.16872106492311	0.76874712693863	-5.47162567768803
"miR-425-5p"	1.15203490677316	6.21580264599577	1.11860667038901	0.28700046724422	0.808443044594397	-5.48970554329133
"miR-6862-3p"	-1.00729450590109	4.36381041591205	-1.11542647611776	0.288302653616081	0.808443044594397	-5.49544596516355
"miR-106b-5p"	0.827806001987773	8.28903640972234	1.40140039609676	0.188509489876085	0.787703754340493	-5.50714872152869
"miR-6722-3p"	-0.841882796260912	4.9575156813029	-1.22590319457756	0.245681741081822	0.808443044594397	-5.5151332705543
"miR-365a-3p"	0.748639277602709	7.56005447509556	1.4217291843793	0.18266871178269	0.787703754340493	-5.51818136409569
"miR-4667-5p"	0.84400483985311	3.58113619671005	1.18369092348041	0.261337214791292	0.808443044594397	-5.5182412844686
"miR-548at-5p"	0.757888562668269	5.16100899981044	1.37878681176967	0.195190277877252	0.787703754340493	-5.52650117016401
"miR-205-3p"	0.884696177843653	4.37459713993092	1.0483268317284	0.316843074758981	0.822653629634032	-5.53552611051459
"miR-342-3p"	0.763515465489623	7.01255717675664	1.37909818538167	0.195096960559427	0.787703754340493	-5.53655096058465
"miR-1202"	-0.965553028335657	5.15366792922516	-1.24454528354477	0.239010410717212	0.808443044594397	-5.5407503445313
"miR-7158-5p"	0.836470633213364	3.74648892038853	1.16540191307449	0.268360020219941	0.808443044594397	-5.5433616404957
"miR-6746-3p"	0.754573235680499	5.1685525882454	1.35143691954271	0.203533399636652	0.80463537323023	-5.54855426074469
"miR-616-3p"	-0.853036600777352	4.47085488399088	-1.06364825398402	0.310145913946774	0.81971179482974	-5.54931829114029
"miR-505-3p"	0.969046981088374	3.70927329241363	0.981307377822164	0.347407057961679	0.839944476977527	-5.56553521127537
"miR-6760-5p"	-1.11242415152495	3.77915627213415	-1.20055873566871	0.254989240531231	0.808443044594397	-5.56592273936419
"miR-1225-5p"	0.764956384745635	5.34261014825174	1.31812590945558	0.214092159858575	0.808443044594397	-5.56597808363627
"miR-130b-3p"	0.967793071927538	6.29956569684155	1.0591294790994	0.312109963484252	0.81971179482974	-5.57012465901263
"miR-181d-5p"	0.96776080048022	6.60708338837135	1.18641597008674	0.2603033186235	0.808443044594397	-5.57837326450622
"miR-6804-3p"	-0.860094300373179	5.62107470347057	-1.24612824027552	0.238450694045892	0.808443044594397	-5.57849313843852
"miR-93-3p"	-0.84797244479364	4.17401217525761	-1.02550882935057	0.327016545589773	0.832278161093284	-5.57871457001843
"miR-4685-5p"	-0.864154061312828	3.21466615224017	-1.15586522244125	0.272080203923803	0.808443044594397	-5.57996984541815
"miR-4728-3p"	-0.826436635174978	5.48073264748766	-1.15760490537021	0.271398581933299	0.808443044594397	-5.58213285694278
