"logFC"	"AveExpr"
"miR-6796-3p"	1.38438865211907	3.89880350356223
"miR-7109-5p"	1.18535594468829	3.31576588245144
"miR-301b"	-1.50490839193721	3.88243074012186
"miR-6820-5p"	-1.30696816713104	3.9083991976263
"miR-6848-5p"	1.20915005169087	3.59436705725521
"miR-3610"	-1.2386084865156	4.05022794141179
"miR-218-5p"	1.53007519601635	3.60982717424027
"miR-7854-3p"	1.20223720650296	2.02280811247259
"miR-6819-5p"	1.08991277997926	3.85498318591533
"miR-7515"	-1.20132122034631	2.40667246582195
"miR-6749-5p"	0.902863446930438	5.17403700047911
"miR-296-3p"	1.11326611157495	3.39693664488225
"miR-124-3p"	1.94560315391238	3.40910466025514
"miR-1234-3p"	1.25767488736233	3.94391892175605
"miR-629-5p"	1.33062739847305	3.21493918321309
"miR-361-3p"	1.21408109520913	4.30267483107872
"miR-602"	1.02488582453486	5.91624236875105
"miR-6500-3p"	1.35962367440424	4.32663299705231
"miR-22-5p"	0.938232042551963	6.13147176077613
"miR-4327"	-1.08022199708527	3.3834170966388
"miR-4763-3p"	1.59917097423172	7.31798986657811
"miR-4690-5p"	-0.843992855619119	4.84244948959102
"miR-4685-5p"	-1.17775521356382	3.21466615224017
"miR-6882-3p"	1.63141665035908	3.67449911150116
"miR-9-5p"	1.49379946062423	3.17833013362548
"miR-181a-3p"	1.3191992321548	2.84759281428574
"miR-6511a-3p"	1.20647589349958	3.70892221338348
"miR-1343-5p"	0.923760923613891	5.85620362988988
"miR-204-3p"	0.994121551375304	3.77212119442545
"miR-139-5p"	-1.23046688076658	3.97991576477444
"miR-6729-5p"	-0.817522020096333	8.3776322040301
"miR-4797-5p"	-0.929716987998425	4.31536858628814
"miR-1248"	1.40428864136145	4.61503101022022
"miR-501-5p"	1.14294950365182	2.98025515981454
"miR-3187-5p"	1.49745605557104	3.68569804758819
"miR-1228-3p"	-0.851560352897975	5.24736257491119
"miR-6789-5p"	1.00481350480421	3.89492450616549
"miR-129-2-3p"	-0.883667483052098	5.32022327564029
"miR-196a-5p"	1.12850418170143	3.40880959403601
"miR-584-5p"	1.00320947163751	2.86625071188016
