"prot id","symbol","gene id","JCKP5vsWTP5","JCKP10vsWTP10","JCKP15vsWTP15","JCKP20vsWTP20","JCKP26vsWTP26_1","JCKP26vsWTP26_2","JCKP35vsWTP35","JCKP44vsWTP44","JCKP50vsWTP50","JCKP64vsWTP64","Early Spectra","Late Spectra","cluster","Detect FA","fa","early FA","late FA","flipped"
P12265,Gusb,ENSMUSG00000025534,-0.24270962,-0.26046994,-0.04261485,-0.21134244,0.05846537,-0.11983529,-0.02749944,0.14038925,0.25301508,0.47370585,15,17,m,1,0,0,0,0
Q9QXV1,Cbx8,ENSMUSG00000025578,-0.01056647,-0.17983204,0.12526140,0.21319597,0.38653379,0.08211800,0.24001177,0.18880550,0.05976514,0.22317523,1,1,m,1,1,0,1,0
Q8R173,Zdhhc3,ENSMUSG00000025786,-0.40597851,-0.08274984,-0.18395815,0.00292389,0.75951582,-0.01667433,0.04768071,0.12560567,0.16476664,0.43243418,1,1,m,1,0,0,0,0
Q8VE80,Thoc3,ENSMUSG00000025872,-0.13795997,-0.12039231,-0.05428944,0.18672452,0.25298562,-0.03315924,-0.07583844,0.06740854,0.22829146,0.07436891,8,5,m,1,0,0,0,0
Q9ESK9,Rb1cc1,ENSMUSG00000025907,-0.36594702,-0.13314657,0.10192806,-0.01768454,0.16147172,-0.09745876,0.33194730,0.14906310,0.22415851,0.14507331,3,1,m,1,0,0,0,0
O35375,Nrp2,ENSMUSG00000025969,-0.28565552,-0.07552814,-0.17675643,-0.00351463,-0.05428479,0.17842671,0.24582630,0.54891841,0.22413493,0.57500612,2,1,m,1,1,1,0,0
Q8VEE0,Rpe,ENSMUSG00000026005,-0.04433637,0.06615498,-0.09413705,0.03954960,0.36811828,-0.08835017,-0.15585192,-0.10647516,-0.02312426,0.05625310,2,3,m,1,0,0,0,0
Q9D6L8,Ppil3,ENSMUSG00000026035,-0.17551972,-0.13864384,0.01145735,0.10993961,0.33253950,-0.26079737,0.41242251,0.07410164,0.20201348,0.41520588,3,3,m,1,1,0,1,0
Q3U962,Col5a2,ENSMUSG00000026042,-0.01680033,-0.04002990,0.56220975,0.04706648,-0.29153064,-0.51061301,0.33468380,0.63195702,0.31685819,1.02832319,4,1,m,1,1,1,1,0
P11276,Fn1,ENSMUSG00000026193,-0.02975992,0.04471143,0.13721166,0.17059768,0.14871871,0.09812483,0.24256598,0.68972224,0.67559577,0.98862246,120,139,m,1,1,1,1,0
O55057,Pde6d,ENSMUSG00000026239,-0.06334530,-0.18464022,0.16693767,0.11215496,0.37814336,0.12106241,0.07195184,0.21057327,0.10816473,0.17719566,3,2,m,1,0,0,0,0
Q07235,Serpine2,ENSMUSG00000026249,-0.22255940,-0.37748224,0.07339013,0.04237547,0.06418569,-0.06701008,0.16149993,0.49098210,0.76275667,1.00344460,6,5,m,1,1,1,1,0
Q9D4J1,Efhd1,ENSMUSG00000026255,0.19350577,0.32444715,0.53617848,0.42977551,0.41032269,0.18198785,0.22495481,0.65876880,0.63028679,0.57386255,14,7,m,1,0,0,0,0
P42208,Sept2,ENSMUSG00000026276,-0.22711730,-0.08591463,-0.09414558,0.12760389,0.09201110,0.10547643,0.09139007,0.34521765,0.28784404,0.35423498,42,34,m,1,1,0,1,0
P97467,Pam,ENSMUSG00000026335,-0.12694091,-0.07662315,-0.29721223,0.07291498,0.10950242,-0.23545440,-0.01142828,0.22223099,-0.15078976,0.34831403,7,1,m,1,1,1,0,0
Q99JY9,Actr3,ENSMUSG00000026341,-0.02202484,-0.17433057,-0.10810555,0.21548206,0.13286689,-0.00346268,0.06487062,0.25486390,0.25617221,0.32571799,38,68,m,1,0,0,0,0
P06909,Cfh,ENSMUSG00000026365,-0.34870293,-0.07444982,0.01983703,0.06432137,0.16182824,-0.04634979,-0.02647041,0.48879720,0.79954018,1.18059861,54,83,m,1,1,1,1,0
Q91Z67,Srgap2,ENSMUSG00000026425,-0.32405462,-0.01975652,-0.23535552,-0.17004705,0.00515267,-0.00916262,0.10668519,0.31104016,0.46595187,0.54629592,11,7,m,1,0,0,0,0
Q3UW53,Fam129a,ENSMUSG00000026483,-0.14459828,0.05647335,0.11419467,0.21587608,0.20805398,0.17735680,0.45626642,0.79348608,0.63984414,0.94018245,24,33,m,1,1,0,1,0
Q8BMP6,Acbd3,ENSMUSG00000026499,-0.06332201,-0.07581477,-0.23633699,-0.09704016,0.18283320,0.04556266,-0.03234449,0.18151385,0.10318367,0.18150735,16,12,m,1,0,0,0,0
O08529,Capn2,ENSMUSG00000026509,-0.25161787,-0.13608407,-0.08918935,0.25342588,0.30456350,0.00917220,0.01808642,0.22567294,0.25178714,0.31394290,31,49,m,1,1,0,1,0
P08101,Fcgr2b,ENSMUSG00000026656,0.14401356,-0.20895691,-0.26092943,-0.07358710,0.35348538,-0.25230262,-0.11872064,0.24689196,0.48441250,0.64103015,2,4,m,1,1,0,1,0
Q8K3K8,Optn,ENSMUSG00000026672,-0.37059279,-0.20763911,0.03900786,-0.08248454,0.28428480,0.08352310,-0.03089990,-0.05164741,-0.06291271,0.08987730,1,5,m,1,0,0,0,0
Q91YR5,Mettl13,ENSMUSG00000026694,0.07496560,0.01194163,0.14069291,0.11141583,0.38792660,-0.11295825,0.01550832,0.02745299,0.04624348,-0.04036073,2,2,m,1,0,0,0,0
P32261,Serpinc1,ENSMUSG00000026715,-0.19346305,0.35630108,0.17284709,-0.11717430,-0.00253131,-0.60318160,0.26401716,0.65038128,0.65416113,1.12047826,28,25,m,1,0,0,0,0
P20152,Vim,ENSMUSG00000026728,-0.21564970,-0.00662997,-0.34454153,-0.06634573,0.13401161,0.07386186,0.07559900,0.53988764,0.41128677,0.69581340,83,85,m,1,1,1,1,0
O70172,Pip4k2a,ENSMUSG00000026737,-0.19791346,-0.28077916,0.03084595,-0.12041899,0.15624119,0.01370920,0.05661469,0.28903832,0.38488996,0.47208239,1,9,m,1,1,0,1,0
Q8R5A3,Apbb1ip,ENSMUSG00000026786,-0.38937142,0.10117453,0.02776330,-0.24744897,0.14713309,0.10502845,0.49435230,1.10013242,1.29280535,1.48709764,1,5,m,1,1,1,1,0
Q9ER39,Tor1a,ENSMUSG00000026849,-0.11924260,-0.13825498,0.05095872,0.24217873,0.36400899,-0.01477556,-0.11645527,0.11000046,-0.00235988,0.01331062,1,6,m,1,0,0,0,0
Q9R0G7,Zeb2,ENSMUSG00000026872,-0.11428454,-0.13606854,-0.16283983,-0.14500323,0.37083747,0.09420726,0.55131019,0.54545742,0.19847389,0.91541147,6,2,m,1,1,1,1,0
Q91V41,Rab14,ENSMUSG00000026878,-0.31035586,-0.22040457,0.03315685,0.03275192,0.17935449,-0.07177985,-0.05349469,0.04553892,-0.04235342,-0.09307631,34,32,m,1,0,0,0,0
Q8R5F7,Ifih1,ENSMUSG00000026896,-0.19877297,-0.14861192,0.19037201,0.08413226,0.14515434,0.11383926,0.24199869,0.27898845,0.30910073,0.42413695,3,7,m,1,1,1,1,0
