"control1"	"control2"	"control3"	"control4"	"control5"	"ckd1"	"ckd2"	"ckd3"	"ckd4"	"ckd5"	"aki1"	"aki2"	"aki3"	"aki5"	"Healthy"	"CKD"	"AKI"
"hsa-let-7b-3p.iso.t5:d-C.seed:0.t3:u-C.ad:u-T.mm:0"	290.473444375973	302.014172124885	0	202.578059676903	322.684900603715	272.377121552309	96.9265700493741	385.800874610095	264.913690294732	233.208568992947	0	330.920077035616	0	147.819129421266	223.550115356295	250.645365099891	119.684801614221
"hsa-let-7b-5p.iso.t5:0.seed:0.t3:0.ad:0.mm:1GT"	2030.45230329806	1225.99812446736	957.963716390607	895.608263834728	1758.99663862927	1381.09893168847	749.565475048493	2298.99373640606	6971.50816403572	1047.78694170769	364.001893488205	398.777283843481	1245.90208772434	831.370618805667	1373.803809324	2489.79064977729	710.012970965424
"hsa-let-7b-5p.iso.t5:0.seed:0.t3:0.ad:u-AA.mm:0"	7895.7264338257	0	0	0	7427.81821953589	0	0	8129.64662661993	0	4194.4510043519	1844.27626034024	2391.7341522827	4555.72278541629	5300.88356839777	3064.70893067232	2464.81952619437	3523.15419160925
"hsa-let-7b-5p.iso.t5:0.seed:0.t3:0.ad:u-A.mm:0"	72219.1389709346	40520.7331333101	16839.528343814	36145.7137909216	63238.9619115476	40133.2430967738	21006.7215560341	71185.3210491639	21844.1905481104	34196.4361139177	10233.449311439	12696.7340792963	24754.4384500382	35929.0071844841	45792.8152301056	37673.1824728	20903.4072563144
"hsa-let-7b-5p.iso.t5:0.seed:0.t3:0.ad:u-AT.mm:0"	21350.5136134674	12122.430235587	4329.99599808555	9436.63435134023	19089.3593830829	13373.6036486659	5741.53236225805	22170.2686206267	6964.92645744455	10037.8781792602	2827.79510196131	3487.67451976863	7267.76217839201	10531.8890028873	13265.7867163126	11657.6418536511	6028.78020075231
"hsa-let-7b-5p.iso.t5:0.seed:0.t3:d-T.ad:0.mm:0"	186748.668467747	103206.615285192	46041.2100000655	93038.1625507086	172927.566094209	111436.148580648	54425.5117310575	187668.724461154	58567.6451868867	79405.866123338	20045.7983931563	21825.8522718996	55316.7942080036	93435.1278969149	120392.444479584	98300.7792166169	47655.8931924936
"hsa-let-7b-5p.iso.t5:0.seed:0.t3:d-T.ad:u-T.mm:0"	19765.072350568	11297.1241810675	3895.2278498775	8845.65474867378	18481.5957169083	12201.5908891234	4800.59904377874	20623.2703594852	6574.96034191752	8550.76064723999	2031.27331150477	2387.08639839175	5304.52252500819	9324.25150919115	12456.934969419	10550.236256309	4761.78343602396
"hsa-let-7b-5p.iso.t5:0.seed:0.t3:u-T.ad:0.mm:0"	76839.5269112795	44855.0850392014	28923.1352833318	51907.9622914211	74826.5039061592	48471.8256810599	34782.7209863849	80583.0508783957	29843.7612816874	37627.1786033805	17011.0218223488	15778.1949089959	29366.7931485329	46208.2598570878	55470.4426862786	46261.7074861817	27091.0674342413
"hsa-let-7b-5p.iso.t5:0.seed:0.t3:u-T.ad:u-AA.mm:0"	8307.8266898862	4923.42905350123	0	0	9078.84885758723	5231.67508574954	3799.52154593546	8939.19600285095	0	5033.47333472313	1985.59464251801	2272.75165267438	3850.97008932979	6061.48017978356	4462.02092019493	4600.77319385182	3542.69914107644
"hsa-let-7b-5p.iso.t5:0.seed:0.t3:u-T.ad:u-A.mm:0"	10325.4008601824	6599.45819682794	3102.32865077266	7046.82250447512	8911.44090163493	6465.84859917328	5474.11444078849	12215.973595236	4351.8243980839	5937.23912050883	2525.17391992405	2706.85186608908	4171.88426344061	7198.34366605984	7197.0902227786	6889.00003075811	4150.5634288784
"hsa-let-7b-5p.iso.t5:0.seed:0.t3:u-T.ad:u-AT.mm:0"	12985.4507769062	6738.50432557851	0	6290.58185312487	11401.937521708	8082.02820008532	4260.79260750377	14713.5599129988	3994.43773018318	5538.86867545856	1787.17792410679	2057.09587213432	3586.68782829735	6695.75862602754	7483.2948954635	7317.93742524592	3531.6800626415
"hsa-let-7b-5p.iso.t5:0.seed:0.t3:u-TT.ad:0.mm:0"	19443.1190255208	12671.1391522693	6245.92343086676	12488.2519645934	20674.8825601095	14065.2833100352	11768.8738413284	19494.328455913	8007.13969615686	11600.9701742667	5337.26697942117	5145.99310805946	9589.67061460556	13714.0317162469	14304.6632266719	12987.31909554	8446.74060458328
"hsa-let-7b-5p.ref.t5:0.seed:0.t3:0.ad:0.mm:0"	377873.040348802	227131.103754218	134866.553364468	239856.230515717	356206.524131469	239773.24104384	155028.332611638	381670.907870416	156400.435555396	194715.281511522	67427.4252580739	70523.1584397138	134469.331387218	209531.376270866	267186.690422935	225517.639718562	120487.822838968
"hsa-let-7c-3p.iso.t5:0.seed:0.t3:d-T.ad:0.mm:0"	12.8781330018904	29.9023932796916	5.89516133163451	10.6620031408896	6.06550565044577	7.91136867579321	5.46765266945187	7.5895254021658	10.5307305458776	13.8735975888156	0	2.7886523345698	0	10.7504821397285	13.0806392809104	9.0745749764208	3.38478361857456
"hsa-let-7c-3p.iso.t5:d-C.seed:0.t3:d-T.ad:0.mm:0"	24.3253623369041	8.97071798390749	7.36895166454313	9.90043148796893	12.1310113008915	5.65097762556658	7.455890003798	6.95706495198531	3.94902395470408	9.24906505921038	0	2.7886523345698	0	3.58349404657615	12.539294954843	6.65240431905287	1.59303659528649
"hsa-let-7c-3p.ref.t5:0.seed:0.t3:0.ad:0.mm:0"	57.2361466750685	83.7267011831366	38.3185486556243	71.5877353745446	44.8847418132987	36.1662568036261	51.6941706929995	40.4774688115509	47.881915450787	89.1874130709572	18.5569592758693	44.6184373531167	18.8773043594598	108.400694908929	59.1507747403345	53.0814449659841	47.6133489743436
"hsa-let-7c-5p.iso.t5:0.seed:0.t3:0.ad:0.mm:19TG"	0	523.291882394604	440.663309539679	172.115193560075	793.368139078307	359.402176986034	330.047397501458	834.847794238238	1842.71330286379	381.193609940313	422.527688127485	166.389589295998	157.310869662165	0	385.887704914533	749.640856305967	186.557036771412
"hsa-let-7c-5p.iso.t5:0.seed:0.t3:0.ad:0.mm:1AT"	483.645439404329	563.660113322187	306.548389244994	310.72123439164	641.730497817163	259.944970776063	275.867930140526	317.495145990602	1480.55489768447	343.536702199242	61.3807114509521	66.9276560296751	245.404956672977	1923.44042949975	461.261134836063	535.479929358181	574.288438413338
"hsa-let-7c-5p.iso.t5:0.seed:0.t3:0.ad:0.mm:1GT"	778.411594780932	708.686720728692	355.183470230979	331.283669020499	895.268634005796	637.43027616391	438.903391556909	678.630063043658	2253.90542214735	618.366063958636	94.2122547851824	118.982499608311	390.130956762168	463.166605519968	613.766817753379	925.447043374094	266.623079168907
"hsa-let-7c-5p.iso.t5:0.seed:0.t3:0.ad:u-A.mm:0"	19971.1224785983	15324.976555842	4449.37301505114	9672.72156374564	20347.3452549854	13050.3677284835	7670.1225765738	13434.7248827338	5101.80986414812	12616.3853882672	642.356282626243	1940.90202486058	4209.63887215953	10482.6159597469	13953.1077736445	10374.6820880413	4318.87828484831
"hsa-let-7c-5p.iso.t5:0.seed:0.t3:d-TA.ad:0.mm:17GA"	3922.10695090907	2015.42130705122	1155.45162100036	1498.01144129499	3748.48249197549	2042.26331387976	0	3722.02974931214	1385.44923744202	1781.10567140223	725.148870164737	743.640622551946	1648.61791405949	2013.9236541758	2467.89476244623	1786.16959440723	1282.83276523799
"hsa-let-7c-5p.iso.t5:0.seed:0.t3:d-T.ad:0.mm:0"	17754.6526986063	14469.7681080428	4882.66737292628	8961.41363991772	21023.042584445	12158.643459169	7068.6807829341	12918.0046949364	5255.98634104635	10793.6589240985	556.708778276078	1265.1186091165	3146.21739324329	9210.47557321235	13418.3088807876	9638.99484043687	3544.63008846206
"hsa-let-7c-5p.iso.t5:0.seed:0.t3:u-T.ad:0.mm:0"	19364.4193238426	18798.1395352781	10587.7097516156	14991.5379877437	24219.56406223	15674.6817377966	14673.1915274745	14458.678351576	7465.46524370329	16332.5275995571	1928.49630628457	3303.62346568702	5833.08704707307	17282.2959131251	17592.274132142	13720.9088920215	7086.87568304245
