"control1"	"control2"	"control3"	"control4"	"control5"	"ckd1"	"ckd2"	"ckd3"	"ckd4"	"ckd5"	"aki1"	"aki2"	"aki3"	"aki5"	"Healthy"	"CKD"	"AKI"
"hsa-miR-107"	10907.3933342752	6948.88701900557	6226.12113893568	5404.13121107094	8749.48404777064	13020.5881106204	7060.04681369142	3163.42417705311	3519.15715638463	12156.7926878305	1706.28574443337	1427.01924915114	2145.59617521366	2818.46991788878	7647.2033502116	7784.00178911602	2024.34277167174
"hsa-miR-10a-3p"	422.891960505168	308.236082433481	237.430415062643	457.1192452169	704.639360730475	462.108555074211	896.143406581421	308.988617619992	477.966707041673	437.678812813504	101.769172983245	125.432265212011	81.4047329349357	178.790381909015	426.063412789733	516.57721982616	121.849138259802
"hsa-miR-10a-5p"	757304.387155992	709118.668193212	1103844.24553897	756181.074635464	1105627.48964985	563423.787513435	2374988.45813012	544149.597874659	655483.010798869	518485.263629197	162878.257165756	252394.258701933	265582.941200228	489654.594244849	886415.173034698	931306.023589256	292627.512828191
"hsa-miR-10b-3p"	352.653849417804	209.217237299409	136.106607360751	227.025665409736	344.68820714433	332.103590731082	474.939721840547	211.583019998658	248.353803010539	464.704161195061	64.7622009893378	90.892945805805	17.4438713432005	89.8536278311971	253.938313326406	346.336859355178	65.7381614923851
"hsa-miR-10b-5p"	4639057.49521857	3319197.93111403	5352856.60922219	1596349.37381494	3251063.55624362	2145571.20307287	7752930.67460794	1169005.21647515	1079646.81036268	1584887.05442995	192033.142709099	419703.630835053	697091.986616978	1088249.377245	3631704.99312267	2746408.19178972	599269.534351532
"hsa-miR-1180-3p"	6829.19300926512	4083.72882270679	2672.22639118274	4493.72761363392	2400.09832797546	3806.78172862924	1757.54836493679	5174.10793722329	3767.80609166256	5171.72886345596	2413.38324503124	2453.20060729868	2837.53640516061	2647.93139976018	4095.79483295281	3935.59459718157	2588.01291431268
"hsa-miR-122-5p"	106.820460612032	91.0334543974529	3.02459127468335	3.83489299678607	0	7.09117987326155	5.97067078885259	14.836614207223	12.1004229630803	70.5295677274773	3.96503271363293	0	81.4047329349357	2.75062126013869	40.9426798561909	22.105691111979	22.0300967271768
"hsa-miR-1226-3p"	169.742101794462	127.766251785899	136.106607360751	112.745854105511	132.2788691624	153.642230587334	73.8192024803593	121.273194389475	117.167510154705	189.836593509472	334.384425516377	358.118206474872	122.107099402404	132.029820486657	135.727936841804	131.147746224269	236.659887970077
"hsa-miR-1227-3p"	108.283754593019	100.615923281395	68.0533036803754	73.6299455382926	92.8495908543767	102.822108162292	37.4523894937117	105.146439816406	111.117298673164	120.625335459143	155.957953402895	139.97513654094	40.7023664674678	97.1886178582337	88.6865035894917	95.4327143209437	108.456018567384
"hsa-miR-1228-3p"	10.2430578669072	41.5240318304171	13.6106607360751	27.6112295768597	11.4472098313615	10.6367698098923	4.88509428178848	56.766176097201	14.9041795033063	16.4788709643639	81.9440094150805	33.6303899481478	46.5169902485347	20.1712225743504	20.8872379683241	20.7342181313104	45.5656530465283
"hsa-miR-1229-3p"	102.430578669072	84.645141808158	107.372990251259	109.677939708082	125.919308144977	158.369683836175	36.3668129866476	152.881633352689	70.0939135056482	131.830967714911	83.2656869862915	50.9000496512508	81.4047329349357	75.1836477771242	106.009191716309	109.908602279214	72.6885293374005
"hsa-miR-1233-3p"	59.9950532204563	35.1357192411222	40.8319822082252	55.2224591537195	55.9641369533229	57.9113022983026	17.3692241130257	80.6337728653424	70.9793103078248	59.9830903102845	27.7552289954305	34.5393194062059	34.887742686401	33.9243288750438	49.4298701553692	57.375339978956	32.7766549907703
"hsa-miR-1237-3p"	42.4355254486155	43.1211099777408	46.881164757592	72.0959883395782	40.7011905115076	46.0926691762	32.0245069583912	81.2788430482651	58.7313212110484	59.3239354717099	101.769172983245	89.0750868896889	93.0339804970694	72.4330265169854	49.0469958070068	55.4902551731229	89.0778167217472
"hsa-miR-124-3p"	77.5545809922972	14.3737033259136	30.2459127468335	15.3395719871443	6.35956101742306	28.3647194930462	6.51345904238465	0	4.42698401088305	25.7070387044076	0	0	0	0	28.7746660139223	13.0024402501443	0
"hsa-miR-1246"	201.93456937617	247.547112835179	449.151804290478	227.025665409736	185.699181708753	156.005957211754	437.487332346835	304.473126339533	203.198566099532	55.3690064402626	605.328327614627	376.296795636033	1459.47056904778	296.150222341599	262.271666724063	231.306797687583	684.311478660008
"hsa-miR-1247-3p"	305.828442026229	110.198392165338	42.3442778455669	52.9215233556478	91.577678650892	87.4578851035591	29.853353944263	29.673228414446	109.198938935115	58.6647806331354	10.5734205696878	208.144845895293	63.9608615917352	15.5868538074526	120.574062808735	62.9696374061037	74.5664954660422
"hsa-miR-1247-5p"	1066.74131213933	1180.24075087224	548.963316355028	964.092099392019	634.684189538821	759.938109751196	273.022491526623	541.858953655101	439.156813879598	1316.99136747196	187.678215111959	4565.55266782558	348.87742686401	340.160162503818	878.944333659489	666.193547256895	1360.56711807634
"hsa-miR-1249-3p"	497.519953535492	311.430238728128	378.073909335419	457.886223816257	324.337611888576	221.008439383318	409.262343163169	962.444712920727	51.5005806599394	352.647838637387	585.503164046462	409.92718558418	726.827972633354	370.416996365343	393.849587460774	399.372782952908	523.168829657335
"hsa-miR-1251-5p"	49.7519953535492	49.5094225670358	3.02459127468335	13.8056147884299	44.5169271219614	73.275525357036	15.7408593524296	0	13.2809520326491	81.7351999832448	0	0	0	2.75062126013869	32.1217102211319	36.8065073450719	0.687655315034672
"hsa-miR-1254"	16.0962337908541	23.956172209856	19.6598432854418	38.3489299678607	15.2629464418153	34.2740360540975	13.5697063383013	26.4478774998323	66.1096278958535	17.797180641513	66.0838785605488	31.8125310320317	0	29.339960108146	22.6648251391656	31.6396856859195	31.8090924251816
"hsa-miR-125a-3p"	737.500166417317	523.841632322185	465.787056301236	706.387290007995	550.737984108837	573.203706421975	300.161904203226	1330.13471718669	631.435486085618	446.247825714973	473.160570493529	430.832563119515	459.35527870428	441.01627537557	596.850825831514	656.236727922496	451.091171923224
"hsa-miR-125a-5p"	391458.942499592	579498.20867827	264678.957856265	439477.970453085	404689.393431513	465466.2287442	282032.776535255	782679.779694732	414197.920724641	341976.121800865	386724.179013903	502040.823652157	368821.586433069	478934.506320335	415960.694583745	457270.565499939	434130.273854866
"hsa-miR-125b-1-3p"	323.38796979807	429.614021630085	875.61917402083	590.573521505056	291.267894597976	417.197749210221	1309.74805577285	680.54904298349	778.706487514328	355.943612830259	2294.43226362225	1422.47460186085	901.266686065359	783.010185386147	502.092516310403	708.428989662229	1350.29593423365
"hsa-miR-125b-2-3p"	7518.40447430987	11315.2986737887	7717.24463735457	6313.76782990859	6223.46641165021	6383.2437492476	7457.91060353042	7306.70996196586	5279.17843297803	6167.71182454211	2842.92845567481	4444.66504990386	4820.32311450441	6247.57775552834	7817.63640540238	6518.9509144528	4588.87359390285
"hsa-miR-125b-5p"	94161.5043825157	132038.43582999	101307.172449882	189903.901200846	151307.947638733	121740.194200842	206004.968651274	182002.03662037	124828.701117805	125256.557354968	128915.108618347	205124.473306166	113135.134908217	140042.380217441	133743.792300393	151966.491589052	146804.274262543
"hsa-miR-126-3p"	5841.46957209907	7728.26115489955	5714.96521351419	7003.28159073073	9483.37738918127	10399.2152841381	15217.0686877711	8338.17718445932	13109.3326191606	15022.7979259527	4360.21430742501	4819.14398662378	3814.39320037984	13836.541812251	7154.27098408496	12417.3183402964	6707.5733266699
"hsa-miR-126-5p"	1349.15705046977	1477.29728627445	1687.72193127331	1761.74984272352	3401.09323211785	2217.17557370644	25906.1977645779	2722.84124211688	2358.40194873109	4802.6021538542	1356.04118806246	882.570503774366	808.23270556829	2556.24402442222	1935.40386857178	7601.4437365973	1400.77210545683
"hsa-miR-1260a"	1199.90106440913	6892.98928384924	7180.37968609828	11570.6391499029	16576.8317480149	783.575375995401	5590.17622312662	20380.347359261	7747.95984971381	16467.6653321081	45886.0019173026	12697.744529071	4593.5527870428	11503.0981099	8684.14818645491	10193.944828041	18670.0993358291
"hsa-miR-1260b"	11858.5344219165	6062.5086472409	7153.15836462613	10601.1782003154	14548.131783457	10556.403104662	5529.92672698456	17463.9850622673	7314.26298278097	14335.2994293194	48339.0354894702	12296.9066380674	28747.4999735944	11120.7617547407	10044.7022835112	11039.9754612029	25126.0509639682
"hsa-miR-1262"	32.1924675817083	25.5532503571798	12.0983650987334	9.9707217916438	33.0697172905999	36.637762678518	39.0807542543079	24.5126669510641	17.5603699098361	21.0929548343857	7.93006542726585	0	23.2584951242673	8.25186378041606	22.576904423973	27.7769017256224	9.86010608298731
"hsa-miR-1266-5p"	46.8254073915757	36.7327973884459	28.7336171094918	18.4074863845732	17.8067708487846	17.7279496831539	11.9413415777052	46.4450531704372	25.8240733968178	13.1830967714911	19.8251635681646	15.4518007869868	75.5901091538688	24.7555913412482	29.7012158245742	23.024302919921	33.9056662125671
"hsa-miR-1268a"	327.77785174103	234.770487656589	346.315700951244	390.392107072822	254.382440696922	347.467813789816	114.528321495263	725.058885605159	88.3921140839648	189.836593509472	305.307518949735	166.334090824623	319.804307958676	218.215953304336	310.727717623721	293.056745696735	252.415467759343
"hsa-miR-1268b"	330.704439703003	236.367565803913	362.950952962002	399.595850265109	253.110528493438	356.922720287498	117.242262762924	765.053236946369	88.687246351357	188.518283832323	311.91590680579	161.789443534333	308.175060396542	218.215953304336	316.545867445493	303.284750036094	250.02409101025
"hsa-miR-1269a"	3169.49476281728	376.910442768401	627.602689496796	412.634486454182	4637.39189390489	197.371173139113	477.653663108207	45.1549128045917	656.079030412867	292.664748327102	31.7202617090634	66.3518504382376	517.501516514948	521.701165672971	1844.80685508831	333.784705558376	284.318698583805
"hsa-miR-1269b"	5.85317592394696	0	1477.51283768282	234.695451403308	0	146.551050714072	1285.3225843639	1388.19103364973	1.62322747065712	284.754890264208	288.125710523993	0	0	143.949179280591	343.612293002014	621.288557292515	108.018722451146
"hsa-miR-127-3p"	3898.21516534868	4890.25328710528	6392.47365904326	8689.10055211789	2608.69192934694	2939.29405746691	7422.62936705084	3734.31128893974	9519.7864170029	4307.57687008471	4710.45886379592	7872.23803624077	4337.70934067586	8440.73977361225	5295.74691859241	5584.71960010902	6340.2865035812
"hsa-miR-127-5p"	20.4861157338144	9.58246888394241	31.7582083841752	18.4074863845732	10.1752976278769	8.2730431854718	45.0514250431605	9.03098256091835	22.1349200544152	10.5464774171929	9.25174299847683	22.7232364514512	11.6292475621337	27.5062126013869	18.0819154028764	19.0073696522317	17.7776099033622
"hsa-miR-1270"	191.691511509263	458.361428281912	155.766450646193	212.453072021949	302.715104429338	384.105576468334	144.924463693058	118.047843474861	171.914545755958	229.385883823945	21.1468411393756	70.8964977285279	151.180218307738	110.941724158927	264.197513377731	209.675662643231	88.5413203336421
