"N2-1"	"N2-2"	"N2-3"	"RB-1"	"RB-2"	"RB-3"
"cel-miR-1829c-3p"	241.833183971819	213.64854032989	217.135655551322	124.676385862147	160.603736200497	142.346776100653
"cel-miR-1829c-5p"	16048.3678253999	16687.9996843977	16910.375105609	15473.8356021227	15639.7870401656	15017.0653648375
"cel-miR-1830-3p"	3707.81461994748	3468.1304149441	3343.14035185053	2821.6759648321	2986.69710525345	3075.52158582433
"cel-miR-1830-5p"	1185.3356426064	1180.43257442542	1144.3298628768	1081.19361819653	988.467194073779	891.485648863943
"cel-miR-1832a-3p"	207.411672384589	198.039514552364	212.144031285775	196.489984118743	173.913438095566	171.439547858451
"cel-miR-1832a-5p"	96.2037118720009	80.9718212209172	112.311545974822	73.8084204303908	87.8440325074543	77.9270672083867
"cel-miR-1832b-5p"	5.2956171672661	2.92669233328616	0	4.98705543448586	6.21119421769879	0
"cel-miR-1833"	2.64780858363305	2.92669233328616	6.23953033193455	4.98705543448586	0	8.31222050222791
"cel-miR-2-3p"	48723.208350293	52265.8472519354	52206.1502872964	56997.0565607389	58566.2375921416	60432.9601338852
"cel-miR-2-5p"	726.382154776667	724.844134543873	635.184187790938	789.949580822561	834.074652090981	845.76843610169
"cel-miR-2207-5p"	0	6.82894877766772	0	4.98705543448586	3.54925383868502	3.11708268833547
"cel-miR-2208a-5p"	5.2956171672661	4.87782055547694	4.99162426554764	3.98964434758869	7.9858211370413	5.19513781389244
"cel-miR-2208b-3p"	27.3606886975415	11.7067693331447	37.4371819916073	37.9016213020926	24.8447768707952	31.1708268833547
"cel-miR-2208b-5p"	65.3126117296153	63.4116672212002	68.6348336512801	63.834309561419	78.9708979107418	81.0441498967221
"cel-miR-2209a-3p"	663.717351630685	594.118543657091	666.38183945061	717.138571479067	668.147035132456	643.158061359885
"cel-miR-2209b-3p"	5.2956171672661	2.92669233328616	8.73534246470838	7.97928869517738	5.32388075802754	6.23416537667093
"cel-miR-2209c-3p"	6.17822002847712	0	0	5.98446652138303	11.5350749757263	5.19513781389244
"cel-miR-2210-3p"	150.042486405873	154.139129553071	175.954755360554	212.448561509098	173.913438095566	181.829823486236
"cel-miR-2210-5p"	7.06082288968814	0	9.98324853109529	7.97928869517738	7.09850767737005	9.3512480650064
"cel-miR-2211-3p"	5.2956171672661	3.90225644438155	6.23953033193455	2.99223326069152	9.76044805638382	0
"cel-miR-2212-5p"	1575.44610726167	1548.22024430838	1467.53753407101	1579.89916164512	1586.51646589221	1431.77998150876
"cel-miR-2215-3p"	7.06082288968814	5.85338466657233	6.23953033193455	7.97928869517738	7.09850767737005	4.15611025111396
"cel-miR-2216-3p"	31.7737030035966	23.4135386662893	33.6934637924466	22.940454998635	15.9716422740826	20.7805512555698
"cel-miR-2216-5p"	350.393335900774	246.817720107133	313.224422663115	239.378660855321	228.039559135513	233.78120162516
"cel-miR-2217a-3p"	83.8472718150467	90.7274623318711	83.609706447923	86.774764560054	80.7455248300843	77.9270672083867
"cel-miR-2217a-5p"	74.1386403417255	82.922949443108	83.609706447923	62.8368984745219	66.5485094753442	78.9660947711651
"cel-miR-2217b-3p"	161.516323601616	139.505667886641	146.005009767269	102.733341950409	125.111197813647	101.824701152292
"cel-miR-2218a-3p"	7.06082288968814	4.87782055547694	6.23953033193455	3.98964434758869	0	0
"cel-miR-2220-3p"	127.977414875598	96.5808469984434	109.815733842048	156.593540642856	130.435078571675	129.878445347311
"cel-miR-2221"	18.5346600854314	3.90225644438155	4.99162426554764	5.98446652138303	13.3097018950688	6.23416537667093
"cel-miR-228-3p"	3992.01274125743	3967.61923982494	3923.41667272045	3629.57894521881	4107.37400481824	3639.71355241305
"cel-miR-228-5p"	1822619.03854381	1583156.17069082	1831342.08541692	1818795.07553438	1762950.7615267	1645511.06825498
"cel-miR-229-3p"	63046.9701848866	62409.7628791053	64350.7721253738	53779.4083944086	51936.231421478	48019.6978413706
