"N2-1"	"N2-2"	"N2-3"	"RB-1"	"RB-2"	"RB-3"
"cel-II_13004-5p"	2.57078069199705	2.69873489104753	2.61737457633142	2.94344918229449	2.57060669164335	2.96126653081494
"cel-II_13034-5p"	2.19310466775123	2.30682095165522	2.10258762177656	1.96224420424624	2.09840718118947	2.13317351310617
"cel-II_13103-3p"	3.67565209589028	3.79848398314761	3.70992246248801	3.5120158450497	3.56826643316027	3.52045437638171
"cel-II_13103-5p"	3.49422691232266	3.61908592530142	3.34884598978235	3.37066860711705	3.62566508202062	3.72493401604727
"cel-II_13237-5p"	2.59624328794774	2.49442703961022	2.52947674445432	2.59066898841635	2.50616846546685	2.44010503561835
"cel-II_13247-5p"	3.22677540092372	3.45267519383119	3.58189441522758	3.50760415072143	3.54962678647615	3.46226598315653
"cel-II_13317-5p"	5.39172806222799	5.56080932632692	5.55654864184111	5.61262834866712	5.21402264007702	5.30713173964425
"cel-II_7745-5p"	3.94476744077404	3.74831634906831	3.74900679239307	3.86130663664661	3.76467655468912	4.13145474581528
"cel-II_7790-5p"	3.2427836962727	3.39612175834855	3.14164307789305	3.20660914902882	3.45904073586917	3.4407440173883
"cel-II_8386-5p"	3.00521825998671	3.03125108079412	3.38078505507257	2.99292084962086	3.18668889696984	3.20200388809576
"cel-II_8471-5p"	2.4062558281199	2.6522796983544	2.61203594722809	2.35044968724095	2.22196265595356	2.45010150498265
"cel-II_8675-5p"	3.29219733886537	3.38853871491212	3.4473121125431	3.47687230691645	3.54772182602023	3.61462401962706
"cel-II_9505-5p"	2.68538801162111	2.80752023295135	2.71140361714061	2.67169993846963	2.61840241152878	2.9370483022016
"cel-II_9602-5p"	2.86492168367897	2.9269851876716	2.74201024886991	2.7704201585031	2.6141702366658	2.72891560086051
"cel-II_9721-5p"	1.81331962823403	1.99980435690471	1.71451925048777	1.89754730888931	1.70182457972489	1.99337023583544
"cel-II_9739-5p"	3.32428669259286	3.29860614757827	3.35581214550107	3.35677887820156	3.23497314494303	3.49343001027819
"cel-II_9959-3p"	4.11471013573372	4.03608704370077	4.36672843072269	3.84703090552661	4.13791285437757	4.17731593785338
"cel-II_9959-5p"	4.19568869925458	4.07199093028427	4.45405377259115	4.5304425703859	4.49132053020624	4.39311650970992
"cel-II_9981-5p"	3.71115475168939	4.12669218441816	4.11133929692675	4.16888536286741	3.77462401718933	4.18901020327755
