"N2-1"	"N2-2"	"N2-3"	"RB-1"	"RB-2"	"RB-3"
"cel-I_3476-5p"	18.2260232652176	6.79882064209994	15.2364053631365	11.5228799025142	12.1363376418262	9.89176824248423
"cel-I_3488-5p"	5.20743521863359	14.5689013759284	7.0321870906784	16.3240798618952	12.1363376418262	9.89176824248423
"cel-I_3599-5p"	5.20743521863359	0	8.20421827245813	11.5228799025142	5.20128756078266	6.59451216165615
"cel-I_3603-5p"	9.54696456749492	15.540161467657	8.20421827245813	4.80119995938094	8.66881260130443	4.3963414411041
"cel-I_3817-5p"	381.010676830025	393.360337150068	431.307474894942	379.294796791094	344.151860271786	367.094510332193
"cel-I_3862-5p"	30.3767054420293	39.821663760871	38.6770289987312	39.3698396669237	39.8765379660004	43.963414411041
"cel-I_3943-5p"	13.8864939163562	0	4.68812472711893	6.72167994313331	0	0
"cel-I_4073-3p"	72.0361871910981	73.8157669713707	65.6337461796651	95.0637591957425	90.155651053566	89.0259141823581
"cel-I_4073-5p"	100.677080893583	118.493731190885	80.8701515428016	127.711918919533	126.564663979045	154.97103579892
"cel-I_4098-5p"	2.6037176093168	3.88504036691425	5.86015590889867	14.4035998781428	4.33440630065221	9.89176824248423
"cel-I_4118-5p"	3.47162347908906	8.74134082555706	12.8923429995771	10.5626399106381	13.0032189019566	10.9908536027603
"cel-I_4122-3p"	3.47162347908906	4.85630045864281	7.0321870906784	9.60239991876187	0	7.69359752193218
"cel-I_4122-5p"	8.67905869772266	4.85630045864281	9.37624945423787	4.80119995938094	5.20128756078266	3.29725608082808
"cel-I_4245-5p"	67.6966578422367	55.361825228528	82.0421827245813	76.819199350095	82.3537197123921	74.7378044987697
"cel-I_4360-3p"	10.4148704372672	4.85630045864281	14.0643741813568	3.84095996750475	8.66881260130443	9.89176824248423
"cel-I_4360-5p"	22.5655526140789	7.7700807338285	26.9567171809339	7.6819199350095	10.4025751215653	12.0899389630363
"cel-I_438-3p"	5.20743521863359	2.91378027518569	7.0321870906784	10.5626399106381	10.4025751215653	0
"cel-I_438-5p"	45.1311052281578	39.821663760871	30.4728107262731	55.6939195288189	55.4804006483483	39.5670729699369
"cel-I_439-5p"	4.33952934886133	3.88504036691425	9.37624945423787	9.60239991876187	6.0681688209131	6.59451216165615
"cel-I_4506-3p"	5.20743521863359	7.7700807338285	3.5160935453392	3.84095996750475	11.2694563816958	8.7926828822082
"cel-I_4506-5p"	5.20743521863359	5.82756055037137	12.8923429995771	4.80119995938094	9.53569386143487	10.9908536027603
"cel-I_4853-3p"	19.0939291349898	30.1090628435854	16.4084365449163	19.2047998375237	20.8051502431306	18.6844511246924
"cel-I_4853-5p"	150.147715470602	156.372874768299	168.772490176282	124.831198943904	136.96723910061	162.664633320852
"cel-I_4890-3p"	14.7543997861285	9.71260091728562	18.7524989084757	12.4831198943904	13.0032189019566	16.4862804041404
"cel-I_4890-5p"	11.2827763070395	16.5114215593856	9.37624945423787	15.363839870019	13.0032189019566	7.69359752193218
"cel-I_4990-5p"	9.54696456749492	8.74134082555706	0	10.5626399106381	13.8701001620871	5.49542680138013
"cel-I_5004-5p"	74.6399048004148	38.8504036691425	64.4617149978853	66.2565594394569	59.8148069490006	82.4314020207019
"cel-I_5091-5p"	10.4148704372672	9.71260091728562	12.8923429995771	20.1650398293999	13.0032189019566	10.9908536027603
